Pollinator_species,SEX,Interaction,Site_id,Plant_species,Year,Month,Day,Locality,Latitude,Longitude,Habitat,Sampling_method,Sampling_effort_minutes,Country,Sampling_area_square_meters
Hoplitis adunca,F,2,Terril du Grand Buisson,Echium vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril du Grand Buisson,Echium vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,1,Terril du Grand Buisson,Echium vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Bombus lapidarius,F,1,Terril du Grand Buisson,Echium vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Hoplitis adunca,F,1,terril de la cokerie stat 2,Echium vulgare,2020,8,10,Anderlues,50.417,4.2698,Terril,Transect,20,Belgium,
Hoplitis adunca,F,1,Terril Naye-à-bois,Echium vulgare,2020,5,26,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Anthophora quadrimaculata,F,1,Terril Naye-à-bois,Echium vulgare,2020,5,26,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Hoplitis adunca,F,1,Terril Saint-Antoine site 1,Echium vulgare,2020,7,6,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Terrestribombus sp.,M,2,Terril Saint-Antoine site 1,Echium vulgare,2020,7,6,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Bombus lapidarius,F,4,Terril Saint-Antoine site 1,Echium vulgare,2020,7,6,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Bombus pascuorum,F,2,Terril Saint-Antoine site 1,Echium vulgare,2020,7,6,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,1,Terril Saint-Antoine site 1,Echium vulgare,2020,7,6,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Hoplitis leucomelana,M,2,Terril de l'Héribus,Ranunculus repens,2020,5,29,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Hylaeus brevicornis,M,1,Terril de l'Héribus,Ranunculus repens,2020,5,29,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Hylaeus dilatatus,M,1,Terril de l'Héribus,Ranunculus repens,2020,5,29,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Hoplitis leucomelana,F,1,Terril du Grand Buisson,Tanacetum vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Ceratina cyanea,F,1,Terril du Grand Buisson,Tanacetum vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Lasioglossum pauxillum,M,4,Terril du Grand Buisson,Tanacetum vulgare,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Hoplitis tridentata,F,1,Terril Saint-Antoine site 1,Echium vulgare,2020,8,7,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Bombus pascuorum,M,1,Terril Saint-Antoine site 1,Echium vulgare,2020,8,7,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril Saint-Antoine site 1,Echium vulgare,2020,8,7,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Hoplitis tridentata,F,1,Talus aux noyers,Lotus corniculatus,2020,7,23,Le Roeulx,50.4705315,4.08730984,Prairie,Transect,20,Belgium,
Eucera longicornis,F,2,Talus aux noyers,Lotus corniculatus,2020,7,23,Le Roeulx,50.4705315,4.08730984,Prairie,Transect,20,Belgium,
Melitta tricincta,M,2,Talus aux noyers,Lotus corniculatus,2020,7,23,Le Roeulx,50.4705315,4.08730984,Prairie,Transect,20,Belgium,
Bombus pascuorum,F,1,Talus aux noyers,Lotus corniculatus,2020,7,23,Le Roeulx,50.4705315,4.08730984,Prairie,Transect,20,Belgium,
Chelostoma florisomne,M,1,Beaulieu,Alliaria petiolata,2020,5,27,Mons,50.4498,4.0607,Rudéral,Transect,20,Belgium,
Megachile pilidens,F,1,Terril Bayemont-Saint-Charles,Crepis biennis,2020,5,26,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Lasioglossum laticeps,F,1,Terril Bayemont-Saint-Charles,Crepis biennis,2020,5,26,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Megachile pilidens,F,1,Terril n°5 de Trazegnie site 1,Lotus corniculatus,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Terrestribombus sp.,M,1,Terril n°5 de Trazegnie site 1,Lotus corniculatus,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,1,Terril n°5 de Trazegnie site 1,Lotus corniculatus,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril n°5 de Trazegnie site 1,Lotus corniculatus,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Bombus lapidarius,M,1,Terril n°5 de Trazegnie site 1,Lotus corniculatus,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Megachile pilidens,F,1,terril de la cokerie stat 2,Pilosella officinarum,2020,5,26,Anderlues,50.417,4.2698,Terril,Transect,20,Belgium,
Megachile pilidens,M,1,Terril n°8 Pays-bas,Echium vulgare,2020,7,2,Châtelet,50.4091,4.5004,Terril,Transect,20,Belgium,
Anthophora quadrimaculata,F,2,Terril n°8 Pays-bas,Echium vulgare,2020,7,2,Châtelet,50.4091,4.5004,Terril,Transect,20,Belgium,
Bombus hortorum,M,1,Terril n°8 Pays-bas,Echium vulgare,2020,7,2,Châtelet,50.4091,4.5004,Terril,Transect,20,Belgium,
Bombus lapidarius,F,3,Terril n°8 Pays-bas,Echium vulgare,2020,7,2,Châtelet,50.4091,4.5004,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,3,Terril n°8 Pays-bas,Echium vulgare,2020,7,2,Châtelet,50.4091,4.5004,Terril,Transect,20,Belgium,
Bombus lapidarius,M,1,Terril n°8 Pays-bas,Echium vulgare,2020,7,2,Châtelet,50.4091,4.5004,Terril,Transect,20,Belgium,
Osmia spinulosa,F,1,Terril Sacré-Français site 2,Picris hieracioides,2020,7,29,Charleroi,50.4264,4.4334,Terril,Transect,20,Belgium,
Megachile rotundata,F,2,Terril du sept-huit stat 2,Melilotus alba,2020,8,4,Boussu,50.4245,3.8187,Terril,Transect,20,Belgium,
Andrena flavipes,F,1,Terril du sept-huit stat 2,Melilotus alba,2020,8,4,Boussu,50.4245,3.8187,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril du sept-huit stat 2,Melilotus alba,2020,8,4,Boussu,50.4245,3.8187,Terril,Transect,20,Belgium,
Hoplitis adunca,F,2,Terril n°5 de Trazegnie site 1,Echium vulgare,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,2,Terril n°5 de Trazegnie site 1,Echium vulgare,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Bombus lapidarius,F,1,Terril n°5 de Trazegnie site 1,Echium vulgare,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Bombus lapidarius,M,3,Terril n°5 de Trazegnie site 1,Echium vulgare,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Hoplitis adunca,M,1,Terril Naye-à-bois,Onobrychis viciifolia,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Anthidium manicatum,F,1,Terril Naye-à-bois,Onobrychis viciifolia,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Megachile willughbiella,M,1,Terril Naye-à-bois,Onobrychis viciifolia,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril Naye-à-bois,Onobrychis viciifolia,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,2,Terril Naye-à-bois,Onobrychis viciifolia,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Melitta leporina,F,1,Terril Naye-à-bois,Onobrychis viciifolia,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Hoplitis adunca,M,1,Terril Saint-Antoine site 1,Echium vulgare,2020,5,28,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Hoplitis adunca,M,2,Terril Naye-à-bois,Lotus corniculatus,2020,5,26,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Megachile ericetorum,M,1,Terril n°5 de Trazegnie site 1,Reseda alba,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Trachusa byssina,F,1,Terril n°5 de Trazegnie site 1,Reseda alba,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril n°5 de Trazegnie site 1,Reseda alba,2020,6,20,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Anthidium manicatum,M,1,Terril Belle vue du huit,Echium vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Anthidium manicatum,F,1,Terril Belle vue du huit,Echium vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus hypnorum,F,1,Terril Belle vue du huit,Echium vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus lapidarius,M,1,Terril Belle vue du huit,Echium vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Anthidium manicatum,M,1,Cimetière d'Havré,Lotus corniculatus,2020,6,28,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Anthidium manicatum,F,1,Cimetière d'Havré,Lotus corniculatus,2020,6,28,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Megachile willughbiella,M,3,Cimetière d'Havré,Lotus corniculatus,2020,6,28,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Andrena flavipes,F,3,Cimetière d'Havré,Lotus corniculatus,2020,6,28,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Bombus pascuorum,F,2,Cimetière d'Havré,Lotus corniculatus,2020,6,28,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Osmia caerulescens,F,2,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Stelis phaeoptera,F,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Anthidium manicatum,M,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Anthidium manicatum,F,2,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Megachile willughbiella,M,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Megachile willughbiella,F,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Megachile centuncularis,F,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Megachile ericetorum,F,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Megachile rotundata,F,2,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Bombus pascuorum,F,3,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Bombus lapidarius,M,1,Cimetière d'Havré,Lotus corniculatus,2020,7,23,Mons,50.4549,4.0447,Parc,Transect,20,Belgium,
Osmia spinulosa,F,1,Terril n°5 de Trazegnie site 1,Picris hieracioides,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Megachile pilidens,F,1,Terril n°5 de Trazegnie site 1,Picris hieracioides,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Halictus scabiosae,M,1,Terril n°5 de Trazegnie site 1,Picris hieracioides,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Panurgus calcaratus,F,1,Terril n°5 de Trazegnie site 1,Picris hieracioides,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Megachile willughbiella,M,1,Talus aux noyers,Leucanthemum vulgare,2020,5,27,Le Roeulx,50.4705315,4.08730984,Prairie,Transect,20,Belgium,
Megachile willughbiella,F,1,Terril Naye-à-bois,Echium vulgare,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Anthophora quadrimaculata,F,2,Terril Naye-à-bois,Echium vulgare,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Lasioglossum laticeps,F,1,Terril Naye-à-bois,Echium vulgare,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Terrestribombus sp.,M,2,Terril Naye-à-bois,Echium vulgare,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,4,Terril Naye-à-bois,Echium vulgare,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Bombus pascuorum,F,#,Terril Naye-à-bois,Echium vulgare,2020,6,20,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Megachile versicolor,F,1,Terril n°5 de Trazegnie site 1,Picris hieracioides,2020,9,7,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Coelioxys inermis,F,1,Terril de Ciply site 1,Leucanthemum vulgare,2020,5,29,Mons,50.4119,3.9445,Terril,Transect,20,Belgium,
Epeolus variegatus,M,5,Terril de Ciply site 1,Leucanthemum vulgare,2020,5,29,Mons,50.4119,3.9445,Terril,Transect,20,Belgium,
Colletes hederae,M,1,Terril Naye-à-bois,Melilotus alba,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Colletes hederae,M,4,Terril de l'Héribus,Picris hieracioides,2020,9,5,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Colletes similis,F,2,Terril de l'Héribus,Picris hieracioides,2020,9,5,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Nomada goodeniana,M,1,Terril de l'Héribus,Picris hieracioides,2020,9,5,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Halictus scabiosae,M,1,Terril de l'Héribus,Picris hieracioides,2020,9,5,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Lasioglossum villosulum,F,1,Terril de l'Héribus,Picris hieracioides,2020,9,5,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Halictus scabiosae,F,2,Terril de l'Héribus,Picris hieracioides,2020,9,5,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Colletes hederae,M,2,Terril du sept-huit stat 2,Melilotus alba,2020,9,1,Boussu,50.4245,3.8187,Terril,Transect,20,Belgium,
Osmia spinulosa,F,2,Terril du Grand Buisson,Pulicaria vulgaris,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Heriades truncorum,F,1,Terril du Grand Buisson,Pulicaria vulgaris,2020,8,4,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
Osmia spinulosa,F,1,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,7,29,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Megachile centuncularis,F,2,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,7,29,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Halictus scabiosae,F,1,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,7,29,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Lasioglossum villosulum,F,1,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,7,29,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,1,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,7,29,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Osmia spinulosa,F,3,Terril Naye-à-bois,Echium vulgare,2020,7,29,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Bombus lapidarius,F,1,Terril Naye-à-bois,Echium vulgare,2020,7,29,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Heriades truncorum,F,1,Terril Naye-à-bois,Picris hieracioides,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Osmia spinulosa,F,1,Terril Naye-à-bois,Picris hieracioides,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Lasioglossum leucozonium,F,1,Terril Naye-à-bois,Picris hieracioides,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Halictus scabiosae,F,1,Terril Naye-à-bois,Picris hieracioides,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Halictus scabiosae,M,1,Terril Naye-à-bois,Picris hieracioides,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Lasioglossum laticeps,F,1,Terril Naye-à-bois,Picris hieracioides,2020,9,7,Charleroi,50.4284,4.4029,Terril,Transect,20,Belgium,
Osmia spinulosa,M,1,Terril Belle vue du huit,Rubus sp.,2020,5,28,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Lasioglossum pauxillum,F,2,Terril Belle vue du huit,Rubus sp.,2020,5,28,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Lasioglossum morio,M,1,Terril Belle vue du huit,Rubus sp.,2020,5,28,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus pascuorum,F,1,Terril Belle vue du huit,Rubus sp.,2020,5,28,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Osmia spinulosa,M,1,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Halictus scabiosae,M,4,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus pascuorum,M,1,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus vestalis,M,1,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus pascuorum,F,3,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Terrestribombus sp.,M,2,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus lapidarius,F,1,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Bombus vestalis,M,1,Terril Belle vue du huit,Centaurea nigra,2020,7,6,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Osmia spinulosa,M,1,Terril du dix-huit,Picris hieracioides,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Lasioglossum villosulum,F,1,Terril du dix-huit,Picris hieracioides,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Panurgus calcaratus,M,1,Terril du dix-huit,Picris hieracioides,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Osmia spinulosa,M,1,Terril du dix-huit,Echium vulgare,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Terrestribombus sp.,M,2,Terril du dix-huit,Echium vulgare,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,3,Terril du dix-huit,Echium vulgare,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Bombus pascuorum,F,2,Terril du dix-huit,Echium vulgare,2020,7,3,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Heriades truncorum,F,1,Terril du dix-huit,Lotus corniculatus,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes daviesanus,F,1,Terril du dix-huit,Lotus corniculatus,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Andrena flavipes,F,2,Terril du dix-huit,Lotus corniculatus,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Sphecodes reticulatus,F,1,Terril du dix-huit,Lotus corniculatus,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Heriades truncorum,F,1,Terril du dix-huit,Tanacetum vulgare,2020,8,4,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes daviesanus,M,2,Terril du dix-huit,Tanacetum vulgare,2020,8,4,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes daviesanus,F,2,Terril du dix-huit,Tanacetum vulgare,2020,8,4,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Epeolus variegatus,M,1,Terril du dix-huit,Tanacetum vulgare,2020,8,4,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Lasioglossum pauxillum,M,1,Terril du dix-huit,Tanacetum vulgare,2020,8,4,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Hylaeus dilatatus,F,1,Terril du dix-huit,Tanacetum vulgare,2020,8,4,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Heriades truncorum,F,1,Terril Sacré-Français site 2,Lotus corniculatus,2020,5,26,Charleroi,50.4264,4.4334,Terril,Transect,20,Belgium,
Heriades truncorum,F,1,Terril du Quesnoy site 2,Senecio inaequidens,2020,8,10,La Louvière,50.4558,4.1356,Terril,Transect,20,Belgium,
Osmia bicornis,F,1,Beaulieu,Potentilla sp.,2020,5,27,Mons,50.4498,4.0607,Rudéral,Transect,20,Belgium,
Hoplitis leucomelana,F,5,Terril de l'Héribus,Echium vulgare,2020,8,4,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Osmia leaiana,F,1,Terril de l'Héribus,Echium vulgare,2020,8,4,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Ceratina cyanea,F,2,Terril de l'Héribus,Echium vulgare,2020,8,4,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Bombus pascuorum,F,2,Terril de l'Héribus,Echium vulgare,2020,8,4,Mons,50.4337,3.9408,Terril,Transect,20,Belgium,
Colletes hederae,F,1,Terril du dix-huit,Melilotus alba,2020,9,1,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes hederae,M,5,Terril du dix-huit,Melilotus alba,2020,9,1,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes hederae,M,7,Terril du Grand Buisson,Melilotus alba,2020,9,1,Boussu,50.4134,3.8143,Terril,Transect,20,Belgium,
