Day,Month,Year,Site_id,Plant species,Flower_count,Units,Comment
20,4,2021,Torre Fornells,Euphorbia pithyusa,150,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,3000,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,3000,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,800,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,800,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,800,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,800,Total flowers per individual plant,
20,4,2021,Torre Fornells,Thymelaea velutina,800,Total flowers per individual plant,
20,4,2021,Torre Fornells,Euphorbia pithyusa,75,Total flowers per individual plant,
20,4,2021,Torre Fornells,Euphorbia pithyusa,75,Total flowers per individual plant,
20,4,2021,Torre Fornells,Euphorbia pithyusa,80,Total flowers per individual plant,
20,4,2021,Torre Fornells,Euphorbia pithyusa,80,Total flowers per individual plant,
20,4,2021,Torre Fornells,Teucrium capitatum,23,Total flowers per individual plant,
21,4,2021,platja Es Grau,Lotus cytisoides,250,Total flowers per individual plant,
21,4,2021,platja Es Grau,Lotus cytisoides,250,Total flowers per individual plant,
21,4,2021,platja Es Grau,Lotus cytisoides,200,Total flowers per individual plant,
21,4,2021,platja Es Grau,Reichardia tingitana,8,Total flowers per individual plant,
21,4,2021,platja Es Grau,Sonchus sp.,8,Total flowers per individual plant,
21,4,2021,platja Es Grau,Lotus cytisoides,55,Total flowers per individual plant,
21,4,2021,platja Es Grau,Lotus cytisoides,55,Total flowers per individual plant,
21,4,2021,Sa Bassa,Raphanus raphanistrum,150,Total flowers per individual plant,
21,4,2021,Sa Bassa,Glebionis coronaria,50,Total flowers per individual plant,
21,4,2021,Sa Bassa,Glebionis coronaria,50,Total flowers per individual plant,
21,4,2021,Sa Bassa,Glebionis coronaria,50,Total flowers per individual plant,
21,4,2021,Sa Bassa,Glebionis coronaria,50,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,200,Total flowers per individual plant,
22,4,2021,Llucalari,Lotus cytisoides,14,Total flowers per individual plant,
22,4,2021,Llucalari,Reichardia tingitana,5,Total flowers per individual plant,
22,4,2021,Llucalari,Reichardia tingitana,2,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,600,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,600,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,600,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,100,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,100,Total flowers per individual plant,
22,4,2021,Llucalari,Echium plantagineum,100,Total flowers per individual plant,
22,4,2021,Sant Jaume de Dalt,Anacamptis robusta,32,Total flowers per individual plant,
22,4,2021,Sant Jaume de Dalt,Hyoseris radiata,10,Total flowers per individual plant,
22,4,2021,Sant Jaume de Dalt,Hyoseris radiata,10,Total flowers per individual plant,
22,4,2021,Sant Jaume de Dalt,Hyoseris radiata,11,Total flowers per individual plant,
