Site_id,Country,Date,Day,Month,Year,Trap_time,Caste,Pollinator_genus,Pollinator_species,Plant_species,Plant_genus,Management,Elevation,Transect,Latitude,Longitude
h1,Germany,2010-05-23,23,5,2010,11:00:00,queen,Bombus,Bombus pascuorum,Ajuga reptans,Ajuga,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-05-23,23,5,2010,10:50:00,queen,Bombus,Bombus pascuorum,Ajuga reptans,Ajuga,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-05-12,12,5,2010,14:35:00,queen,Bombus,Bombus pascuorum,Ajuga reptans,Ajuga,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-05-12,12,5,2010,15:00:00,queen,Bombus,Bombus pascuorum,Ajuga reptans,Ajuga,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-05-23,23,5,2010,10:55:00,queen,Bombus,Bombus pascuorum,Biscutella laevigata,Biscutella,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-07-18,18,7,2010,09:20:00,worker,Bombus,Bombus pascuorum,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,10:55:00,male,Bombus,Bombus soroeensis,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,11:05:00,worker,Bombus,Bombus soroeensis,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,10:55:00,worker,Bombus,Bombus pascuorum,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,11:20:00,male,Bombus,Bombus pascuorum,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-07-18,18,7,2010,10:15:00,worker,Bombus,Bombus pascuorum,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,11:25:00,worker,Bombus,Bombus pascuorum,Centaurea jacea,Centaurea,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,11:50:00,male,Bombus,Bombus pascuorum,Clinopodium vulgare,Clinopodium,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-06-18,18,6,2010,12:45:00,queen,Bombus,Bombus pascuorum,Dactylorhiza maculata,Dactylorhiza,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,11:10:00,worker,Bombus,Bombus pascuorum,Euphrasia rostkoviana,Euphrasia,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:25:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:40:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:50:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:25:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,19:15:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:45:00,worker,Bombus,Bombus hortorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:50:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,19:15:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:45:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:25:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-09-02,2,9,2010,11:55:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:55:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
h1,Germany,2010-08-23,23,8,2010,18:45:00,worker,Bombus,Bombus pascuorum,Gentiana asclepiadea,Gentiana,grasing,817,Hintersee,47.590633,12.836133
