;PlatsID;Season;Order;Pollinator_individuals;ML;Visit;Insect;Transect_Grassland;flw_visited_by_pollin;pollin_species;Site_name
41;2;2012;Hymenoptera;1;M;2;5;A;;Bombus_lapidarius;Forkarby
42;2;2012;Hymenoptera;1;M;1;3;D;;Bombus_bohemicus;Forkarby
43;2;2012;Hymenoptera;1;M;4;5;D;;Bombus_pratorum;Forkarby
44;2;2012;Hymenoptera;1;M;3;6;D;;Apis_mellifera;Forkarby
45;2;2012;Hymenoptera;1;M;2;1;A;;Bombus_sylvarum;Forkarby
46;2;2012;Hymenoptera;1;M;3;8;B;;Andrena_helvola;Forkarby
47;2;2012;Hymenoptera;1;M;3;3;D;;Bombus_lapidarius;Forkarby
48;2;2012;Hymenoptera;1;M;4;13;D;Symphytum_uplandicum;Bombus_pascuorum;Forkarby
49;2;2012;Hymenoptera;1;M;1;2;D;;Bombus_terrestris;Forkarby
50;2;2012;Hymenoptera;1;M;4;4;D;;Bombus_lucorum;Forkarby
51;2;2012;Diptera;1;M;3;1;A;;Volucella_bombylans;Forkarby
52;2;2012;Diptera;1;M;4;9;D;Symphytum_uplandicum;Syrphus_ribesii;Forkarby
53;2;2012;Diptera;1;M;2;14;D;;Dasysyrphus_hilaris;Forkarby
54;2;2012;Hymenoptera;1;M;3;4;D;Geranium_sylvaticum;Andrena_helvola;Forkarby
55;2;2012;Hymenoptera;1;M;2;4;A;Lamium_album;Bombus_sylvarum;Forkarby
56;2;2012;Hymenoptera;3;M;5;4;C;;Bombus_hortorum;Forkarby
57;2;2012;Hymenoptera;4;M;5;7;D;Symphytum_uplandicum;Bombus_pascuorum;Forkarby
58;2;2012;Hymenoptera;2;M;4;7;D;Symphytum_uplandicum;Bombus_lucorum;Forkarby
59;3;2012;Diptera;1;M;2;6;D;;Syrphus_ribesii;Storsatra_Vange
60;3;2012;Hymenoptera;1;M;1;3;D;;Bombus_lucorum;Storsatra_Vange
61;3;2012;Diptera;1;M;3;3;B;Anthriscus_sylvestris;Helophilus_hybridus;Storsatra_Vange
62;3;2012;Hymenoptera;1;M;2;5;D;;Bombus_bohemicus;Storsatra_Vange
63;3;2012;Hymenoptera;1;M;5;2;B;;Bombus_lucorum;Storsatra_Vange
64;3;2012;Diptera;1;M;2;1;B;;Syrphus_ribesii;Storsatra_Vange
65;3;2012;Hymenoptera;1;M;2;2;B;;Bombus_lapidarius;Storsatra_Vange
66;3;2012;Diptera;1;M;5;5;B;;Chrysotoxum_bicinctum;Storsatra_Vange
67;3;2012;Hymenoptera;1;M;3;8;C;;Bombus_pascuorum;Storsatra_Vange
68;3;2012;Diptera;1;M;3;7;B;;Didea_fasciata;Storsatra_Vange
69;3;2012;Hymenoptera;1;M;4;3;B;Vicia_cracca;Bombus_pascuorum;Storsatra_Vange
70;3;2012;Hymenoptera;1;M;4;2;B;;Bombus_pascuorum;Storsatra_Vange
71;3;2012;Diptera;1;M;3;4;B;Anthriscus_sylvestris;Episyrphus_balteatus;Storsatra_Vange
72;3;2012;Hymenoptera;1;M;2;3;B;Lathyrus_linifolius;Bombus_humilis;Storsatra_Vange
73;3;2012;Hymenoptera;1;M;5;3;B;Hypericum_maculatum;Bombus_pascuorum;Storsatra_Vange
74;3;2012;Diptera;1;M;5;1;B;;Helophilus_pendulus;Storsatra_Vange
75;3;2012;Diptera;1;M;3;6;B;;Helophilus_pendulus;Storsatra_Vange
