Site_id,Country,Date,Period,Pollinator_genus,Pollinator_species,Plant_genus,Plant_species,Latitude,Longitude,Site_area
Leidingshof,Germany,2010-06-04,45,Andrena,Andrena cineraria,Veronica,Veronica chamaedris,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Germany,2010-06-09,45,Andrena,Andrena cineraria,Bunias,Bunias orientalis,49.891959999999997,11.40354,38417
Neubürg,Germany,2010-06-09,45,Andrena,Andrena cineraria,Bunias,Bunias orientalis,49.891959999999997,11.40354,38417
Wallersberg,Germany,2010-06-25,35,Andrena,Andrena cineraria,Helianthemum,Helianthemum nummularium,50.049100000000003,11.21597,3289.9398999999999
Wonsees,Germany,2010-06-09,25,Andrena,Andrena cineraria,Erysimum,Erysimum odoratum,49.977060000000002,11.30517,4451.0497999999998
Tiefenellern,Germany,2010-06-30,45,Andrena,Andrena curvungula,Campanula,Campanula persicifolia,49.923929999999999,11.07592,13454.5
Bindlacher Berg,Germany,2010-05-22,10,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,50.006549999999997,11.616,96624.5
Friesen,Germany,2010-06-04,15,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,15,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,15,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,25,Andrena,Andrena falsifica,Veronica,Veronica chamaedris,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,35,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,35,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,35,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Köttel,Germany,2010-05-24,20,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,50.076549999999997,11.16835,43404.5
Spitzberg,Germany,2010-05-29,15,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,50.096350000000001,11.042199999999999,24335.300999999999
Spitzberg,Germany,2010-05-29,15,Andrena,Andrena falsifica,Fragaria,Fragaria spec.,50.096350000000001,11.042199999999999,24335.300999999999
Bindlacher Berg,Germany,2010-07-02,25,Andrena,Andrena flavipes,Trifolium,Trifolium campestre,50.006549999999997,11.616,96624.5
Kleinziegenfeld,Germany,2010-07-22,25,Andrena,Andrena flavipes,Thymus,Thymus pulegioides,50.021439999999998,11.20879,117772
Wiesenthau,Germany,2010-07-19,10,Andrena,Andrena flavipes,Buphtalmum,Buphtalmum salicifolium,49.71658,11.14601,4582.6201000000001
Wiesenthau,Germany,2010-07-19,45,Andrena,Andrena flavipes,Falcaria,Falcaria vulgaris,49.71658,11.14601,4582.6201000000001
Bindlacher Berg,Germany,2010-07-02,10,Andrena,Andrena fulvago,Leontodon,Leontodon hispidus,50.006549999999997,11.616,96624.5
Friesen,Germany,2010-06-04,15,Andrena,Andrena gravida,Ranunculus,Ranunculus bulbosus,49.846960000000003,11.047140000000001,9633.7900000000009
Friesen,Germany,2010-06-04,45,Andrena,Andrena haemorrhoa,Chaerophyllum,Chaerophyllum spec.,49.846960000000003,11.047140000000001,9633.7900000000009
Neubürg,Germany,2010-06-09,45,Andrena,Andrena haemorrhoa,Bunias,Bunias orientalis,49.891959999999997,11.40354,38417
Neubürg,Germany,2010-06-09,45,Andrena,Andrena haemorrhoa,Bunias,Bunias orientalis,49.891959999999997,11.40354,38417
Neubürg,Germany,2010-06-09,45,Andrena,Andrena haemorrhoa,Bunias,Bunias orientalis,49.891959999999997,11.40354,38417
Neubürg,Germany,2010-07-20,20,Andrena,Andrena hattorfiana,Knautia,Knautia arvensis,49.891959999999997,11.40354,38417
Neubürg,Germany,2010-07-20,40,Andrena,Andrena hattorfiana,Knautia,Knautia arvensis,49.891959999999997,11.40354,38417
Oberailsfeld,Germany,2010-07-12,20,Andrena,Andrena hattorfiana,Knautia,Knautia arvensis,49.814570000000003,11.35857,32996.300999999999
Spitzberg,Germany,2010-05-29,5,Andrena,Andrena helvola,Crataegus,Crataegus monogyna,50.096350000000001,11.042199999999999,24335.300999999999
Spitzberg,Germany,2010-05-29,5,Andrena,Andrena helvola,Crataegus,Crataegus monogyna,50.096350000000001,11.042199999999999,24335.300999999999
