Day,Month,Year,Site_id,Plant_species,Flower_count,FloralArea,Comment
22,6,2011,Aoife.O'Rourke_Kil_2_CD3,Anthyllis.vulneraria,NA,NA,
22,6,2011,Aoife.O'Rourke_Kil_2_CD3,Hypochaeris.radicata,NA,NA,
22,6,2011,Aoife.O'Rourke_Kil_2_CD3,Leontodon.saxatilis,NA,NA,
22,6,2011,Aoife.O'Rourke_Kil_2_CD3,Pilosella.officinarum,NA,NA,
22,6,2011,Aoife.O'Rourke_Kil_2_CD3,Rubus.fruticosus,NA,NA,
12,7,2011,Aoife.O'Rourke_Kil_3_CD3,Hypochaeris.radicata,NA,NA,
31,5,2011,Aoife.O'Rourke_Kil_1_CD3,Leontodon.saxatilis,NA,NA,
22,6,2011,Aoife.O'Rourke_Kil_2_CD3,Crepis.sp,NA,NA,
12,7,2011,Aoife.O'Rourke_Kil_3_CD3,Daucus.carota,NA,NA,
12,7,2011,Aoife.O'Rourke_Kil_3_CD3,Leontodon.saxatilis,NA,NA,
12,7,2011,Aoife.O'Rourke_Kil_3_CD3,Taraxacum.agg,NA,NA,
12,7,2011,Aoife.O'Rourke_Kil_3_CD3,Thymus.polytrichus,NA,NA,
21,6,2011,Aoife.O'Rourke_Mag_2_CD3,Lotus.corniculatus,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Anthyllis.vulneraria,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Galium.verum,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Hypochaeris.radicata,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Lotus.corniculatus,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Ononis.repens,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Rubus.fruticosus,NA,NA,
10,5,2011,Aoife.O'Rourke_Mag_1_CD3,Lotus.corniculatus,NA,NA,
10,5,2011,Aoife.O'Rourke_Mag_1_CD3,Taraxacum.agg,NA,NA,
10,5,2011,Aoife.O'Rourke_Mag_1_CD3,Anthyllis.vulneraria,NA,NA,
21,6,2011,Aoife.O'Rourke_Mag_2_CD3,Anthyllis.vulneraria,NA,NA,
21,6,2011,Aoife.O'Rourke_Mag_2_CD3,Hypochaeris.radicata,NA,NA,
21,6,2011,Aoife.O'Rourke_Mag_2_CD3,Leontodon.saxatilis,NA,NA,
25,7,2011,Aoife.O'Rourke_Mag_3_CD3,Eryngium.maritimum,NA,NA,
