Order,Family,Subfamily,Tribe,Genus,Subgenus,Species,GenusAndSpecies,TaxonomicAuthority,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Faroe Islands,Finland,Finland - Åland Islands,Finland - Mainland,France,France - Corsica,France - Mainland,Germany,Gibraltar,Greece,Greece - East Aegean Islands,Greece - Kriti,Greece - Mainland,Hungary,Iceland,Ireland,Isle of Man,Italy,Italy - Mainland,Italy - Sardegna,Italy - Sicily,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Portugal - Azores,Portugal - Madeira,Portugal - Mainland,Romania,Russian Federation - European Russia,Serbia,Slovakia,Slovenia,Spain,Spain - Balearic Islands,Spain - Canary Islands,Spain - Mainland,Sweden,Switzerland,Turkey - European part,Ukraine,Ukraine - Krym,Ukraine - Main part,United Kingdom,United Kingdom - Great Britain,United Kingdom - Northern Ireland
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,cinerea,Brachyopa cinerea,"Wahlberg, 1844",A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,dorsata,Brachyopa dorsata,"Zetterstedt, 1837",A,A,P,P,P,P,P,P,A,P,RE,P,A,P,P,P,P,A,P,P,A,A,A,A,A,P,A,A,A,P,P,A,A,P,A,P,P,A,P,P,P,A,P,P,A,A,A,A,P,P,P,P,P,A,A,A,A,P,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,grunewaldensis,Brachyopa grunewaldensis,"Kassebeer, 2000",P,A,P,A,P,A,P,P,A,P,A,A,A,A,A,A,P,A,P,P,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,P,P,A,P,A,A,P,A,P,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,insensilis,Brachyopa insensilis,"Collin, 1939",P,P,P,A,P,A,P,P,A,P,P,A,A,A,A,A,P,A,P,P,A,P,A,A,P,P,A,P,A,P,P,A,P,A,A,A,A,A,A,A,P,A,A,P,A,A,A,A,A,P,P,P,A,P,A,A,P,P,P,A,P,A,P,P,P,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,maculipennis,Brachyopa maculipennis,"Thompson, 1980",A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,PE,A,A,A,A,A,P,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,P,A,P,P,P,A,A,A,A,A,A,A,P,P,P,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,minima,Brachyopa minima,"Vujić & Pérez-Bañón in Pérez-Bañón et al., 2016",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,obscura,Brachyopa obscura,"Thompson & Torp, 1982",A,A,P,A,P,A,A,A,A,P,A,A,A,P,P,P,P,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,P,P,A,A,A,A,A,P,A,P,A,A,A,A,A,P,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,panzeri,Brachyopa panzeri,"Goffe, 1945",A,P,P,P,P,P,P,P,A,P,P,P,A,A,A,A,P,A,P,P,A,A,A,A,A,P,A,A,A,P,P,A,A,P,P,P,P,A,P,A,P,A,P,P,A,A,A,A,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,pilosa,Brachyopa pilosa,"Collin, 1939",A,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P,P,A,A,A,P,P,A,A,A,A,P,P,A,A,P,P,A,P,P,A,A,A,A,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,P,P,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,plena,Brachyopa plena,"Collin, 1939",A,A,P,A,A,A,PE,A,A,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,P,A,P,P,P,A,A,A,A,A,P,A,P,A,P,A,A,A
