Site_id,Plant_species,Flower_units,Latitude,Longitude,Site_area
Großenohe,Prunus domestica,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Prunus domestica,0,49.79063,11.42389,58085.5
Hohe Leite,Prunus domestica,0,49.80621,11.40085,23217.300999999999
Kainach,Prunus domestica,0,49.957859999999997,11.2906,2346.23
Kalkberg,Prunus domestica,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Prunus domestica,0,50.021439999999998,11.20879,117772
Köttel,Prunus domestica,0,50.076549999999997,11.16835,43404.5
Leidingshof,Prunus domestica,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Prunus domestica,20000,49.891959999999997,11.40354,38417
Oberailsfeld,Prunus domestica,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Prunus domestica,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Prunus domestica,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Prunus domestica,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Prunus domestica,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Prunus domestica,0,49.923929999999999,11.07592,13454.5
Wallersberg,Prunus domestica,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Prunus domestica,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Prunus domestica,0,49.71658,11.14601,4582.6201000000001
Wonsees,Prunus domestica,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Prunus spinosa,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Prunus spinosa,0,49.72795,11.28425,21554.1
Bindlacher Berg,Prunus spinosa,0,50.006549999999997,11.616,96624.5
Friesen,Prunus spinosa,20000,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Prunus spinosa,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Prunus spinosa,0,49.79063,11.42389,58085.5
Hohe Leite,Prunus spinosa,0,49.80621,11.40085,23217.300999999999
Kainach,Prunus spinosa,0,49.957859999999997,11.2906,2346.23
Kalkberg,Prunus spinosa,4000,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Prunus spinosa,0,50.021439999999998,11.20879,117772
Köttel,Prunus spinosa,20000,50.076549999999997,11.16835,43404.5
Leidingshof,Prunus spinosa,20000,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Prunus spinosa,0,49.891959999999997,11.40354,38417
Oberailsfeld,Prunus spinosa,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Prunus spinosa,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Prunus spinosa,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Prunus spinosa,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Prunus spinosa,8000,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Prunus spinosa,20000,49.923929999999999,11.07592,13454.5
Wallersberg,Prunus spinosa,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Prunus spinosa,80000,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Prunus spinosa,5000,49.71658,11.14601,4582.6201000000001
Wonsees,Prunus spinosa,12000,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Pulsatilla vulgaris,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Pulsatilla vulgaris,50,49.72795,11.28425,21554.1
Bindlacher Berg,Pulsatilla vulgaris,0,50.006549999999997,11.616,96624.5
Friesen,Pulsatilla vulgaris,20,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Pulsatilla vulgaris,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Pulsatilla vulgaris,2000,49.79063,11.42389,58085.5
Hohe Leite,Pulsatilla vulgaris,1000,49.80621,11.40085,23217.300999999999
Kainach,Pulsatilla vulgaris,0,49.957859999999997,11.2906,2346.23
Kalkberg,Pulsatilla vulgaris,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Pulsatilla vulgaris,0,50.021439999999998,11.20879,117772
Köttel,Pulsatilla vulgaris,0,50.076549999999997,11.16835,43404.5
Leidingshof,Pulsatilla vulgaris,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Pulsatilla vulgaris,0,49.891959999999997,11.40354,38417
Oberailsfeld,Pulsatilla vulgaris,50,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Pulsatilla vulgaris,200,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Pulsatilla vulgaris,50,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Pulsatilla vulgaris,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Pulsatilla vulgaris,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Pulsatilla vulgaris,0,49.923929999999999,11.07592,13454.5
Wallersberg,Pulsatilla vulgaris,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Pulsatilla vulgaris,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Pulsatilla vulgaris,30,49.71658,11.14601,4582.6201000000001
Wonsees,Pulsatilla vulgaris,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Ribes uva-crispa,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Ribes uva-crispa,50,49.72795,11.28425,21554.1
Bindlacher Berg,Ribes uva-crispa,0,50.006549999999997,11.616,96624.5
Friesen,Ribes uva-crispa,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Ribes uva-crispa,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Ribes uva-crispa,0,49.79063,11.42389,58085.5
Hohe Leite,Ribes uva-crispa,0,49.80621,11.40085,23217.300999999999
Kainach,Ribes uva-crispa,0,49.957859999999997,11.2906,2346.23
Kalkberg,Ribes uva-crispa,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Ribes uva-crispa,0,50.021439999999998,11.20879,117772
Köttel,Ribes uva-crispa,0,50.076549999999997,11.16835,43404.5
