"Plant_gen_sp","Site_ID","Name","Day","Month","Year","Round","Notes","Plot","Plant_genus","Plant_species","Flower_abundance"
"Lysimachia arvensis","Convento_de_la_luz","Pablo",8,5,2017,6,NA,9,"Lysimachia","arvensis",1
"Lysimachia arvensis","Villamanrique_este","Curro",29,3,2016,5,NA,3,"Lysimachia","arvensis",6
"Lysimachia arvensis","El_hongo","Curro",27,4,2019,6,NA,10,"Lysimachia","arvensis",4
"Lysimachia arvensis","Niebla","Curro",1,4,2016,5,NA,6,"Lysimachia","arvensis",39
"Lysimachia arvensis","La_rocina","Curro",23,5,2016,8,NA,6,"Lysimachia","arvensis",10
"Lysimachia arvensis","Aznalcazar","Pablo",17,4,2017,5,NA,8,"Lysimachia","arvensis",3
"Lysimachia arvensis","Villamanrique_este","Curro",14,4,2016,6,NA,7,"Lysimachia","arvensis",2
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,3,"Lysimachia","arvensis",11
"Lysimachia arvensis","Niebla","Pablo",6,4,2017,4,NA,6,"Lysimachia","arvensis",1
"Lysimachia arvensis","El_hongo","Curro",22,4,2016,6,NA,9,"Lysimachia","arvensis",31
"Lysimachia arvensis","Urbanizaciones","Pablo",17,5,2017,7,NA,2,"Lysimachia","arvensis",2
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,6,"Lysimachia","arvensis",14
"Lysimachia arvensis","Villamanrique_este","Curro",2,5,2019,7,NA,7,"Lysimachia","arvensis",2
"Lysimachia arvensis","Pinares_de_hinojos","Curro",18,4,2016,6,NA,3,"Lysimachia","arvensis",8
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,8,"Lysimachia","arvensis",9
"Lysimachia arvensis","Convento_de_la_luz","Curro",22,4,2020,7,NA,1,"Lysimachia","arvensis",12
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,1,"Lysimachia","arvensis",9
"Lysimachia arvensis","Pino_del_cuervo","Curro",5,6,2018,8,NA,10,"Lysimachia","arvensis",3
"Lysimachia arvensis","Pino_del_cuervo","Curro",5,6,2018,8,NA,8,"Lysimachia","arvensis",12
"Lysimachia arvensis","Convento_de_la_luz","Curro",26,4,2016,7,NA,8,"Lysimachia","arvensis",9
"Lysimachia arvensis","El_pozo","Curro",10,5,2018,5,NA,7,"Lysimachia","arvensis",5
"Lysimachia arvensis","Aznalcazar","Curro",1,6,2016,9,NA,2,"Lysimachia","arvensis",50
"Lysimachia arvensis","Convento_de_la_luz","Curro",8,4,2020,6,NA,8,"Lysimachia","arvensis",20
"Lysimachia arvensis","Convento_de_la_luz","Curro",26,4,2016,7,NA,6,"Lysimachia","arvensis",3
"Lysimachia arvensis","Urbanizaciones","Curro",19,5,2016,8,NA,4,"Lysimachia","arvensis",9
"Lysimachia arvensis","Villamanrique_sur","Curro",31,5,2016,9,NA,8,"Lysimachia","arvensis",2
"Lysimachia arvensis","Convento_de_la_luz","Curro",21,4,2016,6,NA,1,"Lysimachia","arvensis",3
"Lysimachia arvensis","Villamanrique_este","Curro",14,4,2016,6,NA,2,"Lysimachia","arvensis",2
"Anarrhinum bellidifolium","Las_mulas","Curro",20,5,2016,8,NA,5,"Anarrhinum","bellidifolium",100
"Anarrhinum bellidifolium","Pino_del_cuervo","Curro",29,4,2016,7,NA,5,"Anarrhinum","bellidifolium",100
"Anarrhinum bellidifolium","Las_mulas","Curro",28,4,2016,7,NA,5,"Anarrhinum","bellidifolium",1000
"Anarrhinum bellidifolium","Las_mulas","Curro",28,4,2016,7,NA,4,"Anarrhinum","bellidifolium",100
"Anarrhinum sp","Las_mulas","Curro",31,5,2016,9,NA,5,"Anarrhinum","sp",300
"Anarrhinum sp","Las_mulas","Curro",13,5,2015,7,NA,4,"Anarrhinum","sp",600
"Anarrhinum sp","Las_mulas","Curro",28,4,2015,6,NA,3,"Anarrhinum","sp",20
"Anarrhinum sp","Las_mulas","Curro",31,5,2016,9,NA,4,"Anarrhinum","sp",120
"Anchusa azurea","Pinares_de_hinojos","Curro",9,4,2019,5,NA,8,"Anchusa","azurea",16
"Anchusa azurea","Pinares_de_hinojos","Curro",27,4,2019,6,NA,7,"Anchusa","azurea",69
"Anchusa calcarea","Laguna_del_ojillo","Curro",29,5,2020,10,NA,1,"Anchusa","calcarea",2
"Anchusa calcarea","La_rocina","Curro",29,5,2020,10,NA,5,"Anchusa","calcarea",3
"Andryala arenaria","Convento_de_la_luz","Curro",11,6,2018,8,NA,8,"Andryala","arenaria",6
"Andryala arenaria","Aznalcazar","Curro",19,6,2018,9,NA,1,"Andryala","arenaria",2
"Andryala arenaria","Urbanizaciones","Curro",11,6,2018,8,NA,2,"Andryala","arenaria",3
"Andryala arenaria","Esparragal","Curro",5,6,2018,8,NA,7,"Andryala","arenaria",2
"Andryala arenaria","Pinares_de_hinojos","Curro",5,6,2018,8,NA,10,"Andryala","arenaria",1
"Andryala arenaria","La_rocina","Curro",18,6,2018,9,NA,6,"Andryala","arenaria",2
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,6,"Andryala","arenaria",3
"Andryala arenaria","Aznalcazar","Curro",19,6,2018,9,NA,4,"Andryala","arenaria",1
"Andryala arenaria","Aznalcazar","Curro",19,6,2018,9,NA,6,"Andryala","arenaria",3
"Andryala arenaria","Pino_del_cuervo","Curro",5,6,2018,8,NA,6,"Andryala","arenaria",5
"Andryala arenaria","Pinares_de_hinojos","Curro",5,6,2018,8,NA,7,"Andryala","arenaria",5
"Andryala arenaria","Aznalcazar","Curro",5,6,2018,8,NA,9,"Andryala","arenaria",10
"Andryala arenaria","El_pozo","Curro",19,6,2018,9,NA,9,"Andryala","arenaria",1
"Andryala arenaria","Convento_de_la_luz","Curro",11,6,2018,8,NA,3,"Andryala","arenaria",3
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,3,"Andryala","arenaria",35
"Andryala arenaria","Convento_de_la_luz","Curro",11,6,2018,8,NA,3,"Andryala","arenaria",5
"Andryala arenaria","El_pozo","Curro",7,6,2018,8,NA,5,"Andryala","arenaria",1
"Andryala arenaria","Urbanizaciones","Curro",11,6,2018,8,NA,1,"Andryala","arenaria",6
"Andryala arenaria","La_rocina","Curro",18,6,2018,9,NA,2,"Andryala","arenaria",6
"Andryala arenaria","Aznalcazar","Curro",5,6,2018,8,NA,5,"Andryala","arenaria",2
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,5,"Andryala","arenaria",5
"Andryala arenaria","Esparragal","Curro",5,6,2018,8,NA,4,"Andryala","arenaria",1
"Andryala arenaria","Pinares_de_hinojos","Curro",5,6,2018,8,NA,6,"Andryala","arenaria",1
"Andryala arenaria","Urbanizaciones","Curro",11,6,2018,8,NA,4,"Andryala","arenaria",21
"Andryala arenaria","Urbanizaciones","Curro",11,6,2018,8,NA,7,"Andryala","arenaria",41
"Andryala arenaria","La_cunya","Curro",5,6,2018,8,NA,1,"Andryala","arenaria",4
"Andryala arenaria","Convento_de_la_luz","Curro",11,6,2018,8,NA,1,"Andryala","arenaria",5
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,4,"Andryala","arenaria",41
"Andryala arenaria","El_pozo","Curro",19,6,2018,9,NA,5,"Andryala","arenaria",1
"Andryala arenaria","La_rocina","Curro",18,6,2018,9,NA,9,"Andryala","arenaria",5
"Andryala arenaria","Aznalcazar","Curro",5,6,2018,8,NA,8,"Andryala","arenaria",17
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,1,"Andryala","arenaria",16
"Andryala arenaria","Aznalcazar","Curro",5,6,2018,8,NA,2,"Andryala","arenaria",9
"Andryala arenaria","Aznalcazar","Curro",5,6,2018,8,NA,6,"Andryala","arenaria",10
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,7,"Andryala","arenaria",19
"Andryala arenaria","Aznalcazar","Curro",5,6,2018,8,NA,3,"Andryala","arenaria",5
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,8,"Andryala","arenaria",25
"Andryala arenaria","Pinares_de_hinojos","Curro",5,6,2018,8,NA,5,"Andryala","arenaria",2
"Andryala arenaria","Convento_de_la_luz","Curro",11,6,2018,8,NA,6,"Andryala","arenaria",5
"Andryala arenaria","Urbanizaciones","Curro",11,6,2018,8,NA,3,"Andryala","arenaria",11
"Andryala arenaria","Pino_del_cuervo","Curro",5,6,2018,8,NA,4,"Andryala","arenaria",9
"Andryala arenaria","Bonares","Curro",11,6,2018,8,NA,3,"Andryala","arenaria",10
"Andryala arenaria","Urbanizaciones","Curro",11,6,2018,8,NA,5,"Andryala","arenaria",18
"Andryala arenaria","El_pozo","Curro",7,6,2018,8,NA,4,"Andryala","arenaria",1
"Andryala arenaria","Bonares","Curro",11,6,2018,8,NA,5,"Andryala","arenaria",5
"Andryala arenaria","Villamanrique_sur","Curro",5,6,2018,8,NA,10,"Andryala","arenaria",3
"Andryala integrifolia","Villamanrique_este","Curro",31,5,2016,9,NA,8,"Andryala","integrifolia",30
"Andryala integrifolia","Aznalcazar","Curro",8,5,2015,7,NA,6,"Andryala","integrifolia",10
"Andryala integrifolia","Aznalcazar","Curro",8,5,2015,7,NA,9,"Andryala","integrifolia",15
"Andryala integrifolia","La_cunya","Curro",13,5,2015,7,NA,2,"Andryala","integrifolia",6
"Andryala integrifolia","La_cunya","Curro",13,5,2015,7,NA,5,"Andryala","integrifolia",3
