"","Order","Family","Subfamily","Tribe","Genus","Subgenus","Species","GenusAndSpecies","TaxonomicAuthority"
"1","Diptera","Syrphidae","Eristalinae","Eristalini","Anasimyia","","contracta","Anasimyia contracta","Claussen & Torp, 1980"
"2","Diptera","Syrphidae","Eristalinae","Eristalini","Anasimyia","","femorata","Anasimyia femorata","Šimić, 1987"
"3","Diptera","Syrphidae","Eristalinae","Eristalini","Anasimyia","","interpuncta","Anasimyia interpuncta","(Harris, 1776)"
"4","Diptera","Syrphidae","Eristalinae","Eristalini","Anasimyia","","lunulata","Anasimyia lunulata","(Meigen, 1822)"
"5","Diptera","Syrphidae","Eristalinae","Eristalini","Anasimyia","","transfuga","Anasimyia transfuga","(Linnaeus, 1758)"
"6","Diptera","Syrphidae","Eristalinae","Eristalini","Arctosyrphus","","willingii","Arctosyrphus willingii","(Smith, 1912)"
"7","Diptera","Syrphidae","Syrphinae","Bacchini","Baccha","","elongata","Baccha elongata","(Fabricius, 1775)"
"8","Diptera","Syrphidae","Eristalinae","Milesiini","Blera","","eoa ","Blera eoa","(Stackelberg, 1928)"
"9","Diptera","Syrphidae","Eristalinae","Milesiini","Blera ","","fallax","Blera fallax","(Linnaeus, 1758)"
"10","Diptera","Syrphidae","Eristalinae","Milesiini","Blera ","","nitens","Blera nitens","(Stackelberg, 1923)"
"11","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","atlantea","Brachyopa atlantea","Kassebeer, 2000"
"12","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","bicolor","Brachyopa bicolor","(Fallén, 1817)"
"13","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","bimaculosa","Brachyopa bimaculosa","Doczkal & Dziock, 2004"
"14","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","cinerea","Brachyopa cinerea","Wahlberg, 1844"
"15","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","dorsata","Brachyopa dorsata","Zetterstedt, 1837"
"16","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","grunewaldensis","Brachyopa grunewaldensis","Kassebeer, 2000"
"17","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","insensilis","Brachyopa insensilis","Collin, 1939"
"18","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","maculipennis","Brachyopa maculipennis","Thompson, 1980"
"19","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","minima","Brachyopa minima","Vujić & Pérez-Bañón in Pérez-Bañón et al., 2016"
"20","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","obscura","Brachyopa obscura","Thompson & Torp, 1982"
"21","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","panzeri","Brachyopa panzeri","Goffe, 1945"
"22","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","pilosa","Brachyopa pilosa","Collin, 1939"
"23","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","plena","Brachyopa plena","Collin, 1939"
"24","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","quadrimaculosa","Brachyopa quadrimaculosa","Thompson, 1981"
"25","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","scutellaris","Brachyopa scutellaris","Robineau-Desvoidy, 1843"
"26","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","silviae","Brachyopa silviae","Doczkal & Dziock, 2004"
"27","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","testacea","Brachyopa testacea","(Fallén, 1817)"
"28","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","vernalis","Brachyopa vernalis","van Steenis & van Steenis, 2014"
"29","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","vittata","Brachyopa vittata","Zetterstedt, 1843"
"30","Diptera","Syrphidae","Eristalinae","Brachyopini","Brachyopa","","zhelochovtsevi","Brachyopa zhelochovtsevi","Mutin, 1998"
"31","Diptera","Syrphidae","Eristalinae","Milesiini","Brachypalpoides ","","lentus","Brachypalpoides lentus","(Meigen, 1822)"
"32","Diptera","Syrphidae","Eristalinae","Milesiini","Brachypalpus","","chrysites","Brachypalpus chrysites","Egger, 1859"
"33","Diptera","Syrphidae","Eristalinae","Milesiini","Brachypalpus","","laphriformis","Brachypalpus laphriformis","(Fallén, 1816)"
"34","Diptera","Syrphidae","Eristalinae","Milesiini","Brachypalpus","","valgus","Brachypalpus valgus","(Panzer, 1798)"
"35","Diptera","Syrphidae","Eristalinae","Milesiini","Caliprobola ","","speciosa","Caliprobola speciosa","(Rossi, 1790)"
"36","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","aenea","Callicera aenea","(Fabricius, 1777)"
"37","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","aurata","Callicera aurata","(Rossi, 1790)"
"38","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","fagesii","Callicera fagesii","Guerin-Meneville, 1844"
"39","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","macquarti","Callicera macquarti","Rondani, 1844"
"40","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","rufa","Callicera rufa","Schummel, 1842"
"41","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","scintilla","Callicera scintilla","Smit, 2014"
"42","Diptera","Syrphidae","Eristalinae","Callicerini","Callicera ","","spinolae","Callicera spinolae","Rondani, 1844"
"43","Diptera","Syrphidae","Eristalinae","Cerioidini","Ceriana","","conopsoides","Ceriana conopsoides","(Linnaeus, 1758)"
"44","Diptera","Syrphidae","Eristalinae","Cerioidini","Ceriana","","glaebosa","Ceriana glaebosa","van Steenis & Ricarte in van Steenis et al, 2016"
"45","Diptera","Syrphidae","Eristalinae","Cerioidini","Ceriana","","vespiformis","Ceriana vespiformis","(Latreille, 1804), why is this still 1804????"
"46","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","eumerus","Chalcosyrphus eumerus","(Loew, 1869)"
"47","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","eunotus","Chalcosyrphus eunotus","(Loew, 1873)"
"48","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","femoratus","Chalcosyrphus femoratus","(Linnaeus, 1758)"
"49","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","jacobsoni","Chalcosyrphus jacobsoni","(Stackelberg, 1921)"
"50","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","nemorum","Chalcosyrphus nemorum","(Fabricius, 1805)"
"51","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","nigripes","Chalcosyrphus nigripes","(Zetterstedt, 1838)"
"52","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","nitidus","Chalcosyrphus nitidus","(Portschinsky, 1879)"
"53","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","obscurus","Chalcosyrphus obscurus","(Szilady, 1939)"
"54","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","pannonicus","Chalcosyrphus pannonicus","(Oldenberg, 1916)"
"55","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","piger","Chalcosyrphus piger","(Fabricius, 1794)"
"56","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","rufipes","Chalcosyrphus rufipes","(Loew, 1873)"
"57","Diptera","Syrphidae","Eristalinae","Milesiini","Chalcosyrphus ","","valgus","Chalcosyrphus valgus","(Gmelin, 1790)"
"58","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","aerea","Cheilosia aerea","Dufour, 1848"
"59","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","ahenea","Cheilosia ahenea","(von Roser, 1840)"
"60","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","alba","Cheilosia alba","Vujić & Claussen, 2000"
"61","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","albipila","Cheilosia albipila","Meigen, 1838"
"62","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","albitarsis","Cheilosia albitarsis","(Meigen, 1822)"
"63","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","alpestris","Cheilosia alpestris","Becker, 1894"
"64","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","alpina","Cheilosia alpina","(Zetterstedt, 1838)"
"65","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","andalusiaca","Cheilosia andalusiaca","Torp Pedersen, 1971"
"66","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","angustigenis","Cheilosia angustigenis","Becker, 1894"
"67","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","antiqua","Cheilosia antiqua","(Meigen, 1822)"
"68","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","aristata","Cheilosia aristata","Barkalov & Ståhls, 1997"
"69","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","balkana","Cheilosia balkana","Vujić, 1994"
"70","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","barbafacies","Cheilosia barbafacies","Vujić & Radenković in Vujić et al., 2013"
"71","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","barbata","Cheilosia barbata","Loew, 1857"
"72","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","beckeri","Cheilosia beckeri","Strobl, 1910"
"73","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","bergenstammi","Cheilosia bergenstammi","Becker, 1894"
"74","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","brachysoma","Cheilosia brachysoma","Egger, 1860"
"75","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","bracusi","Cheilosia bracusi","Vujić & Claussen, 1994"
"76","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","brunnipennis","Cheilosia brunnipennis","Becker, 1894"
