"","Order","Family","Subfamily","Tribe","Genus","Subgenus","Species","GenusAndSpecies","TaxonomicAuthority"
"77","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","caerulescens","Cheilosia caerulescens","(Meigen, 1822)"
"78","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","candida","Cheilosia candida","Vujić & Radenković in Radenković et al., 2020"
"79","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","canicularis","Cheilosia canicularis","(Panzer, 1801)"
"80","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","carbonaria","Cheilosia carbonaria","Egger, 1860"
"81","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","chlora","Cheilosia chlora","(Meigen, 1822)"
"82","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","chrysocomus","Cheilosia chrysocomus","(Meigen, 1822)"
"83","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","clama","Cheilosia clama","Claussen & Vujić, 1995"
"84","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","clausseni","Cheilosia clausseni","Barkalov & Ståhls, 1997"
"85","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","crassiseta","Cheilosia crassiseta","Loew, 1859"
"86","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","cumanica","Cheilosia cumanica","Szilady, 1938"
"87","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","cynocephala","Cheilosia cynocephala","Loew, 1840"
"88","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","derasa","Cheilosia derasa","Loew, 1857"
"89","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","fasciata","Cheilosia fasciata","Schiner & Egger, 1853"
"90","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","faucis","Cheilosia faucis","Becker, 1894"
"91","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","flavipes","Cheilosia flavipes","(Panzer, 1798)"
"92","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","flavissima","Cheilosia flavissima","Becker, 1894"
"93","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","fraterna","Cheilosia fraterna","(Meigen, 1830)"
"94","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","frontalis","Cheilosia frontalis","Loew, 1857"
"95","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","gagatea","Cheilosia gagatea","Loew, 1857"
"96","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","gigantea","Cheilosia gigantea","(Zetterstedt, 1838)"
"97","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","gorodkovi","Cheilosia gorodkovi","Stackelberg, 1963"
"98","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","griseifacies","Cheilosia griseifacies","Vujić, 1994"
"99","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","griseiventris","Cheilosia griseiventris","Loew, 1857"
"100","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","grisella","Cheilosia grisella","Becker, 1894"
"101","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","grossa","Cheilosia grossa","(Fallén, 1817)"
"102","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","herculana","Cheilosia herculana","Brădescu, 1982"
"103","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","hercyniae","Cheilosia hercyniae","Loew, 1857"
"104","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","himantopus","Cheilosia himantopus","(Panzer, 1798)"
"105","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","hypena","Cheilosia hypena","Becker, 1894"
"106","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","iberica","Cheilosia iberica","Marcos-Garcia & Claussen, 1989"
"107","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","illustrata","Cheilosia illustrata","(Harris, 1780)"
"108","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","impressa","Cheilosia impressa","Loew, 1840"
"109","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","impudens","Cheilosia impudens","Becker, 1894"
"110","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","ingerae","Cheilosia ingerae","Nielsen & Claussen, 2001"
"111","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","insignis","Cheilosia insignis","Loew, 1857"
"112","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","katara","Cheilosia katara","Claussen & Vujić, 1993"
"113","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","kerteszi","Cheilosia kerteszi","Szilády, 1938"
"114","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","laeviseta","Cheilosia laeviseta","Claussen, 1987"
"115","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","laeviventris","Cheilosia laeviventris","Loew, 1857"
"116","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","lasiopa","Cheilosia lasiopa","Kowarz, 1885"
"117","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","laticornis","Cheilosia laticornis","Rondani, 1857"
"118","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","latifrons","Cheilosia latifrons","(Zetterstedt, 1843)"
"119","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","latigenis","Cheilosia latigenis","Claussen & Kassebeer, 1993"
"120","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","lenis","Cheilosia lenis","Becker, 1894"
"121","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","lenta","Cheilosia lenta","Becker, 1894"
"122","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","limbicornis","Cheilosia limbicornis","Strobl, 1909"
"123","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","loewi","Cheilosia loewi","Becker, 1894"
"124","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","longula","Cheilosia longula","(Zetterstedt, 1838)"
"125","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","lucense","Cheilosia lucense","Ricarte in Ricarte et al, 2014"
"126","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","luteicornis","Cheilosia luteicornis","(Zetterstedt, 1838)"
"127","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","marginata","Cheilosia marginata","Becker, 1894"
"128","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","melanopa","Cheilosia melanopa","(Zetterstedt, 1843)"
"129","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","melanura","Cheilosia melanura","Becker, 1894"
"130","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","montana","Cheilosia montana","Egger, 1860"
"131","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","morio","Cheilosia morio","(Zetterstedt, 1838)"
"132","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","mutabilis","Cheilosia mutabilis","(Fallén, 1817)"
"133","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","naruska","Cheilosia naruska","Haarto & Kerppola, 2007"
"134","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","nebulosa","Cheilosia nebulosa","Verrall, 1871"
"135","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","nigripes","Cheilosia nigripes","(Meigen, 1822)"
"136","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","nivalis","Cheilosia nivalis","Becker, 1894"
"137","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","orthotricha","Cheilosia orthotricha","Vujić & Claussen, 1994"
"138","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","paganus","Cheilosia paganus","(Meigen, 1822)"
"139","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","paralobi","Cheilosia paralobi","Malski, 1962"
"140","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pascuorum","Cheilosia pascuorum","Becker, 1894"
"141","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pedemontana","Cheilosia pedemontana","Rondani, 1857"
"142","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pedestris","Cheilosia pedestris","Becker, 1894"
"143","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","personata","Cheilosia personata","Loew, 1857"
"144","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pictipennis","Cheilosia pictipennis","Egger, 1860"
"145","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pilifer","Cheilosia pilifer","Becker, 1894"
"146","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pini","Cheilosia pini","Becker, 1894"
"147","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","proxima","Cheilosia proxima","(Zetterstedt, 1843)"
"148","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","psilophthalma","Cheilosia psilophthalma","Becker, 1894"
"149","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","pubera","Cheilosia pubera","(Zetterstedt, 1838)"
"150","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","ranunculi","Cheilosia ranunculi","Doczkal, 2000"
"151","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","redi","Cheilosia redi","Vujić, 1996"
"152","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","reniformis","Cheilosia reniformis","Hellén, 1930"
"153","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","rhodiolae","Cheilosia rhodiolae","Schmid, 2000"
"154","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","rhynchops","Cheilosia rhynchops","Egger, 1860"
"155","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","rodgersi","Cheilosia rodgersi","Wainwright, 1911"
"156","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","ruffipes","Cheilosia ruffipes","(Preyssler, 1793)"
"157","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","rufimana","Cheilosia rufimana","Becker, 1894"
"158","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","sahlbergi","Cheilosia sahlbergi","Becker, 1894"
"159","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","schnabli","Cheilosia schnabli","Becker, 1894"
"160","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","scutellata","Cheilosia scutellata","(Fallén, 1817)"
"161","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","semifasciata","Cheilosia semifasciata","Becker, 1894"
"162","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","sootryeni","Cheilosia sootryeni","Nielsen, 1970"
"163","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","subpictipennis","Cheilosia subpictipennis","Claussen, 1998"
"164","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","thessala","Cheilosia thessala","Claussen & Ståhls, 2007"
"165","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","tonsa","Cheilosia tonsa","Sack, 1938"
"166","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","urbanus","Cheilosia urbanus","(Meigen, 1822)"
"167","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","uviformis","Cheilosia uviformis","Becker, 1894"
"168","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","vangaveri","Cheilosia vangaveri","Timon-David, 1937"
"169","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","variabilis","Cheilosia variabilis","(Panzer, 1798)"
"170","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","varnensis","Cheilosia varnensis","Claussen, 2000"
"171","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","velutina","Cheilosia velutina","Loew, 1840"
"172","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","venosa","Cheilosia venosa","Loew, 1857"
"173","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","vernalis","Cheilosia vernalis","(Fallén, 1817)"
"174","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","vicina","Cheilosia vicina","(Zetterstedt, 1849)"
"175","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","vujici","Cheilosia vujici","Claussen & Doczkal, 1998"
"176","Diptera","Syrphidae","Eristalinae","Rhingiini","Cheilosia","","vulpina","Cheilosia vulpina","(Meigen, 1822)"
"177","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","basalis","Chrysogaster basalis","Loew, 1857"
"178","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","cemiteriorum","Chrysogaster cemiteriorum","(Linnaeus, 1758)"
"179","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","coerulea","Chrysogaster coerulea","Strobl in Czerny & Strobl, 1909"
"180","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","mediterraneus","Chrysogaster mediterraneus","Vujić, 1999"
"181","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","musatovi","Chrysogaster musatovi","Stackelberg, 1952"
"182","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","rondanii","Chrysogaster rondanii","Maibach & Goeldlin, 1995"
"183","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","simplex","Chrysogaster simplex","Loew, 1843"
"184","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","solstitialis","Chrysogaster solstitialis","(Fallén, 1817)"
"185","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysogaster","","virescens","Chrysogaster virescens","Loew, 1854"
"186","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysosyrphus ","","nasutus","Chrysosyrphus nasutus","(Zetterstedt, 1838)"
"187","Diptera","Syrphidae","Eristalinae","Brachyopini","Chrysosyrphus ","","niger","Chrysosyrphus niger","(Zetterstedt, 1843)"
"188","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","arcuatum","Chrysotoxum arcuatum","(Linnaeus, 1758)"
"189","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","bicinctum","Chrysotoxum bicinctum","(Linnaeus, 1758)"
"190","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","cautum","Chrysotoxum cautum","(Harris, 1776)"
"191","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","cisalpinum","Chrysotoxum cisalpinum","Rondani, 1845"
"192","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","elegans","Chrysotoxum elegans","Loew, 1841"
"193","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","fasciolatum","Chrysotoxum fasciolatum","(De Geer, 1776)"
"194","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","festivum","Chrysotoxum festivum","(Linnaeus, 1758)"
"195","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","gracile","Chrysotoxum gracile","Becker, 1921"
"196","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","intermedium","Chrysotoxum intermedium","Meigen, 1822"
"197","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","lessonae","Chrysotoxum lessonae","Giglio-Tos, 1890"
"198","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","lineare","Chrysotoxum lineare","(Zetterstedt, 1819)"
"199","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","montanum","Chrysotoxum montanum","Nedeljković & Vujić in Nedeljković et al., 2015"
"200","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","octomaculatum","Chrysotoxum octomaculatum","Curtis, 1837"
"201","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","orthostylum","Chrysotoxum orthostylum","Vujić in Nedeljković et al., 2015"
"202","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","parmense","Chrysotoxum parmense","Rondani, 1843"
"203","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","tomentosum","Chrysotoxum tomentosum","Giglio-Tos, 1890"
"204","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","triarcuatum","Chrysotoxum triarcuatum","Macquart in Webb & Berthelot, 1839"
"205","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","vernale","Chrysotoxum vernale","Loew, 1841"
"206","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","verralli","Chrysotoxum verralli","Collin, 1940"
"207","Diptera","Syrphidae","Syrphinae","Syrphini","Chrysotoxum","","volaticum","Chrysotoxum volaticum","Séguy, 1961"
"208","Diptera","Syrphidae","Pipizinae","Pipizini","Claussenia","","hispanica","Claussenia hispanica","(Strobl, 1909)"
"209","Diptera","Syrphidae","Eristalinae","Volucellini","Copestylum","","melleum","Copestylum melleum","(Jaennicke, 1867)"
"210","Diptera","Syrphidae","Eristalinae","Milesiini","Criorhina","","asilica","Criorhina asilica","(Fallén, 1816)"
"211","Diptera","Syrphidae","Eristalinae","Milesiini","Criorhina","","floccosa","Criorhina floccosa","(Meigen, 1822)"
