id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	language	license	rightsHolder	accessRights	datasetID	datasetName
eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368	eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368	Aglais ichnusa	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aglais	ichnusa	species	(Hübner, 1824)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	Aglais io	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aglais	io	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:b539a7ed55eb3e9e98da58bcc194ee6a	eurobutt-checklist:taxon:b539a7ed55eb3e9e98da58bcc194ee6a	Aglais urticae	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aglais	urticae	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:f5471fb0cd39f621cc6798be5fea44aa	eurobutt-checklist:taxon:f5471fb0cd39f621cc6798be5fea44aa	Agriades aquilo	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	aquilo	species	(Boisduval, 1832)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:80df9d0fb00d1caaa84fac49d305d07b	eurobutt-checklist:taxon:80df9d0fb00d1caaa84fac49d305d07b	Agriades dardanus	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	dardanus	species	(Freyer, 1843)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:d97bac5d477e090d61a361463d91637a	eurobutt-checklist:taxon:d97bac5d477e090d61a361463d91637a	Agriades glandon	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	glandon	species	(de Prunner, 1798)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:2423374daa25a1852b2e4c13429f7241	eurobutt-checklist:taxon:2423374daa25a1852b2e4c13429f7241	Agriades optilete	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	optilete	species	(Knoch, 1781)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:047169688695b7c93c5dddc33442bda5	eurobutt-checklist:taxon:047169688695b7c93c5dddc33442bda5	Agriades orbitulus	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	orbitulus	species	(de Prunner, 1798)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:c081ccd33673b935e1865adc664cb27e	eurobutt-checklist:taxon:c081ccd33673b935e1865adc664cb27e	Agriades pyrenaicus	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	pyrenaicus	species	(Boisduval, 1840)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:e111e4501335b0a7431bb8e43f0638d2	eurobutt-checklist:taxon:e111e4501335b0a7431bb8e43f0638d2	Agriades zullichi	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Agriades	zullichi	species	Hemming, 1933	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:8c75b24bc8cfe94157cc7cf2878c218f	eurobutt-checklist:taxon:8c75b24bc8cfe94157cc7cf2878c218f	Anthocharis cardamines	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Anthocharis	cardamines	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:3e36f515332fea7cf3ea2ee3e85372bb	eurobutt-checklist:taxon:3e36f515332fea7cf3ea2ee3e85372bb	Anthocharis damone	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Anthocharis	damone	species	Boisduval, 1836	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:1be1fed97ea2529ab9042d02798f242f	eurobutt-checklist:taxon:1be1fed97ea2529ab9042d02798f242f	Anthocharis euphenoides	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Anthocharis	euphenoides	species	Staudinger, 1869	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:ef999ac94ef1be8517fc3e9a9a4e95cf	eurobutt-checklist:taxon:ef999ac94ef1be8517fc3e9a9a4e95cf	Anthocharis gruneri	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Anthocharis	gruneri	species	Herrich-Schäffer, 1851	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:3d946893006f87e5049eed90547314f4	eurobutt-checklist:taxon:3d946893006f87e5049eed90547314f4	Apatura ilia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Apatura	ilia	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:35a1b9db83778501c2bc8000c29b4901	eurobutt-checklist:taxon:35a1b9db83778501c2bc8000c29b4901	Apatura iris	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Apatura	iris	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:4329becfd5d68a3f8318bc5ba986f500	eurobutt-checklist:taxon:4329becfd5d68a3f8318bc5ba986f500	Apatura metis	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Apatura	metis	species	Freyer, 1829	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:f42bde84f0c89afb58ce3772acecc60b	eurobutt-checklist:taxon:f42bde84f0c89afb58ce3772acecc60b	Aphantopus hyperantus	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aphantopus	hyperantus	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:971fecf94304a1e6f5712d41252409b0	eurobutt-checklist:taxon:971fecf94304a1e6f5712d41252409b0	Aporia crataegi	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Aporia	crataegi	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:ce8388f52b4d72ac53d462e45ec3df41	eurobutt-checklist:taxon:ce8388f52b4d72ac53d462e45ec3df41	Araschnia levana	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Araschnia	levana	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:705d2bfbffd13e0e946b09e01efc7029	eurobutt-checklist:taxon:705d2bfbffd13e0e946b09e01efc7029	Archon apollinus	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Archon	apollinus	species	(Herbst, 1798)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:aa0a1aa01ec36861389115a339a755c7	eurobutt-checklist:taxon:aa0a1aa01ec36861389115a339a755c7	Arethusana arethusa	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Arethusana	arethusa	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:f95e4522a0c4e4b592e26e0d0b6dd584	eurobutt-checklist:taxon:f95e4522a0c4e4b592e26e0d0b6dd584	Argynnis laodice	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Argynnis	laodice	species	(Pallas, 1771)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:9423a461e3c0fb54c0016b0fb6b21905	eurobutt-checklist:taxon:9423a461e3c0fb54c0016b0fb6b21905	Argynnis pandora	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Argynnis	pandora	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:7f6f61de2972bdf521bb7a3a00229156	eurobutt-checklist:taxon:7f6f61de2972bdf521bb7a3a00229156	Argynnis paphia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Argynnis	paphia	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517	eurobutt-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517	Aricia agestis	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	agestis	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:2c8ec7c9230f4636ba467dd335b29d84	eurobutt-checklist:taxon:2c8ec7c9230f4636ba467dd335b29d84	Aricia anteros	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	anteros	species	(Freyer, 1838)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:ae26f9cb1079e1f1fa4bc0f35afb22e7	eurobutt-checklist:taxon:ae26f9cb1079e1f1fa4bc0f35afb22e7	Aricia artaxerxes	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	artaxerxes	species	(Fabricius, 1793)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:32e789a2cb9dc81add6fef82b83d1e59	eurobutt-checklist:taxon:32e789a2cb9dc81add6fef82b83d1e59	Aricia cramera	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	cramera	species	(Eschscholtz, 1821)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:eb80cfc3560e8887da1ee1f019c3b888	eurobutt-checklist:taxon:eb80cfc3560e8887da1ee1f019c3b888	Aricia montensis	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	montensis	species	Verity, 1928	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:1986ed88b63a4fb1065ed824407f7848	eurobutt-checklist:taxon:1986ed88b63a4fb1065ed824407f7848	Aricia morronensis	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	morronensis	species	(Ribbe, 1910)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:f6298712c76f897946daf21ee89b31e6	eurobutt-checklist:taxon:f6298712c76f897946daf21ee89b31e6	Aricia nicias	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	nicias	species	(Meigen, 1829)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:7f3c0ebfd989a9ca4b5cd1f4dcf18b47	eurobutt-checklist:taxon:7f3c0ebfd989a9ca4b5cd1f4dcf18b47	Azanus jesous	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Azanus	jesous	species	(Guérin-Méneville, 1849)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
