id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	language	license	rightsHolder	accessRights	datasetID	datasetName
eurobutt-checklist:taxon:131848e170bed388df69a56d32d2819b	eurobutt-checklist:taxon:131848e170bed388df69a56d32d2819b	Azanus ubaldus	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Azanus	ubaldus	species	(Stoll, 1782)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:7f13844e62a5b5a78d23543ba7d38e14	eurobutt-checklist:taxon:7f13844e62a5b5a78d23543ba7d38e14	Boloria alaskensis	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	alaskensis	species	(Holland, 1900)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:f4dc5aa634de0e3c0b6a7545a43872dc	eurobutt-checklist:taxon:f4dc5aa634de0e3c0b6a7545a43872dc	Boloria angarensis	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	angarensis	species	(Erschoff, 1870)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:4cd155ba5d19626ef085284c2ae91b98	eurobutt-checklist:taxon:4cd155ba5d19626ef085284c2ae91b98	Boloria aquilonaris	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	aquilonaris	species	(Stichel, 1908)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:41977a3b36ab409deb87b977c5e397d7	eurobutt-checklist:taxon:41977a3b36ab409deb87b977c5e397d7	Boloria chariclea	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	chariclea	species	(Schneider, 1794)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:2ebca3c17cbe26762f51fcd1815b6654	eurobutt-checklist:taxon:2ebca3c17cbe26762f51fcd1815b6654	Boloria dia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	dia	species	(Linnaeus, 1767)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:4f5f03bf3fd0b312b312bad9f039f611	eurobutt-checklist:taxon:4f5f03bf3fd0b312b312bad9f039f611	Boloria eunomia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	eunomia	species	(Esper, 1800)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:c3370bb4e4fbab93481053e03ce9fcb0	eurobutt-checklist:taxon:c3370bb4e4fbab93481053e03ce9fcb0	Boloria euphrosyne	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	euphrosyne	species	(Linnaeus, 1758)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:577fa4ef7347f8c05129cc499ec56873	eurobutt-checklist:taxon:577fa4ef7347f8c05129cc499ec56873	Boloria freija	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	freija	species	(Thunberg, 1791)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:2baa87242b6efff95ebb0ecd5d92d50b	eurobutt-checklist:taxon:2baa87242b6efff95ebb0ecd5d92d50b	Boloria frigga	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	frigga	species	(Thunberg, 1791)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:2856a607ef10d2c995f12d14d5140d48	eurobutt-checklist:taxon:2856a607ef10d2c995f12d14d5140d48	Boloria graeca	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	graeca	species	(Staudinger, 1870)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:80dfa27bf9b8fe4926e7179d42a91937	eurobutt-checklist:taxon:80dfa27bf9b8fe4926e7179d42a91937	Boloria improba	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	improba	species	(Butler, 1877)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:068b8995df7414ae3ecc9a4a162fc43b	eurobutt-checklist:taxon:068b8995df7414ae3ecc9a4a162fc43b	Boloria napaea	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	napaea	species	(Hoffmansegg, 1804)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:5c44c815c7c8978bc15c14d4793eaee5	eurobutt-checklist:taxon:5c44c815c7c8978bc15c14d4793eaee5	Boloria oscarus	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	oscarus	species	(Eversmann, 1844)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:417bb45ca6773679e601ea0496eb9629	eurobutt-checklist:taxon:417bb45ca6773679e601ea0496eb9629	Boloria pales	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	pales	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:175b857761567fcb5e104c6fcee186b0	eurobutt-checklist:taxon:175b857761567fcb5e104c6fcee186b0	Boloria polaris	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	polaris	species	(Boisduval, 1828)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:59c61528b1431d1fe7cceb8e598c3563	eurobutt-checklist:taxon:59c61528b1431d1fe7cceb8e598c3563	Boloria selene	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	selene	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:dc0a075ff696ceab22103a6063913dd8	eurobutt-checklist:taxon:dc0a075ff696ceab22103a6063913dd8	Boloria selenis	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	selenis	species	(Eversmann, 1837)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:f9b7f3a0351cb2a6d1e43bf743f2addb	eurobutt-checklist:taxon:f9b7f3a0351cb2a6d1e43bf743f2addb	Boloria thore	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	thore	species	(Hübner, 1804)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:aba093e756cd63f3b2715d204f1feb0b	eurobutt-checklist:taxon:aba093e756cd63f3b2715d204f1feb0b	Boloria titania	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	titania	species	(Esper, 1793)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:c770d121dca49945329b13d74445f72e	eurobutt-checklist:taxon:c770d121dca49945329b13d74445f72e	Boloria tritonia	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Boloria	tritonia	species	(Böber, 1812)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:2b454e28b9934d71027c57073dd67403	eurobutt-checklist:taxon:2b454e28b9934d71027c57073dd67403	Borbo borbonica	Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Borbo	borbonica	species	(Boisduval, 1833)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:b4cea51e056edff915ff3fb8d7dedbeb	eurobutt-checklist:taxon:b4cea51e056edff915ff3fb8d7dedbeb	Brenthis daphne	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Brenthis	daphne	species	(Bergsträsser, 1780)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:3a23c87b77a6adb54a2e56f4fac56e7a	eurobutt-checklist:taxon:3a23c87b77a6adb54a2e56f4fac56e7a	Brenthis hecate	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Brenthis	hecate	species	([Denis & Schiffermüller], 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:971246297c66630b9f7209497234bbc3	eurobutt-checklist:taxon:971246297c66630b9f7209497234bbc3	Brenthis ino	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Brenthis	ino	species	(Rottemburg, 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:1ff7bd3fb0b7c7d8a301cd4382ab46b3	eurobutt-checklist:taxon:1ff7bd3fb0b7c7d8a301cd4382ab46b3	Brintesia circe	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Brintesia	circe	species	(Fabricius, 1775)	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:05b365ff38f2b2c6af279dc1a5ab4150	eurobutt-checklist:taxon:05b365ff38f2b2c6af279dc1a5ab4150	Cacyreus marshalli	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Cacyreus	marshalli	species	Butler, 1898	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
eurobutt-checklist:taxon:207f5ac5d65c5bc241badb7415f374ef	eurobutt-checklist:taxon:207f5ac5d65c5bc241badb7415f374ef	Callophrys avis	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Callophrys	avis	species	Chapman, 1909	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/ye7whj	National checklists and red lists for European butterflies
