id	locationID	locality	countryCode	occurrenceStatus	threatStatus	source	occurrenceRemarks
eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368		European Union		present	LC	van Swaay et al. (2010)	
eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368		Europe		present	LC	van Swaay et al. (2010) | Wiemers et al. (2018)	
eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368	ISO_3166:FR	France	FR	present	unknown	UICN France et al. (2012) | Lafranchis et al. (2015)	In source as 'Aglais urticae ichnusa'
eurobutt-checklist:taxon:eea749686fd1f784f6da17ee3b551368	ISO_3166:IT	Italy	IT	present	LC	Bonelli et al. (2018) | Balletto et al. (2014)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:AD	Andorra	AD	present	LC	Dantart and Jubany (2012)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:AL	Albania	AL	present	unknown	Anonymous (2013) | Cuvelier et al. (2018) | Micevski et al. (2015) | Šašić et al. (2015) | Verovnik and Popović (2013)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:AT	Austria	AT	present	LC	Höttinger and Pennerstorfer (2005) | Zulka et al. (2003) | Huemer (2013) | Huemer and Wiesmair (2017)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:BA	Bosnia and Herzegovina	BA	present	LC	Đug (2013) | Koren and Kulijer (2016) | Lelo (2016)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:BE	Belgium	BE	present	LC	Fichefet et al. (2008) | Maes et al. (2012)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:BG	Bulgaria	BG	present	LC	Hristova and Beshkov (2017) | Kolev (2017) | Kolev and Shtinkov (2016) | Kolev and Tsvetanov (2018) | Langourov and Simov (2014)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:BY	Belarus	BY	present	unknown	Kulak and Yakovlev (2018) | Korb and Bolshakov (2016)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:CH	Switzerland	CH	present	LC	Wermeille et al. (2014) | Sonderegger (2005) | SwissLepTeam (2010)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:CZ	Czech Republic	CZ	present	NE	Beneš and Konvička (2017) | Alois Pavlíčko and Zdeněk Faltýnek Fric (pers. comm.)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:DE	Germany	DE	present	LC	Reinhardt and Bolz (2011)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:DK	Denmark	DK	present	LC	Wind and Pihl (2004) | Aarvik et al. (2017)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:EE	Estonia	EE	present	LC	Anu Tiitsaar (pers.comm.) | Aarvik et al. (2017) | Õunap and Tartes (2014)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:ES	Spain	ES	present	NE	Verdú and Galante (2009) | Verdú et al. (2011) | García-Barros et al. (2013) | Monasterio León et al. (2017)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba		European Union		present	LC	van Swaay et al. (2010)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba		Europe		present	LC	van Swaay et al. (2010) | Wiemers et al. (2018)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:FI	Finland	FI	present	LC	Kaitila et al. (2010) | Aarvik et al. (2017) | Saarinen and Jantunen (2013)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:FR	France	FR	present	LC	UICN France et al. (2012) | Lafranchis et al. (2015)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:GB	United Kingdom	GB	present	LC		In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:GR	Greece	GR	present	LC	Legakis and Maragou (2009) | Pamperis (2009) | Coutsis and Bozano (2017)	In source as 'Inachis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:HR	Croatia	HR	present	LC	Šašić et al. (2015) | Šašić and Mihoci (2011)	
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:HU	Hungary	HU	present	LC	Ádám Kőrösi & Ádám Gór (pers. comm.) | Gergely et al. (2017) | Sáfián et al. (2012) | Varga (2012)	In source as 'Nymphalis io'
eurobutt-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba	ISO_3166:IE	Ireland	IE	present	LC	Regan et al. (2010) | Tomás Murray (pers. comm.)	
