Site,Year,Plot ID,Animal,Plant,Date,
Isen Bjerg,2004,1IB1,0,Empetrum nigrum,13/4/04,
Isen Bjerg,2004,1IB10,Andrena clarkella,Salix repens female,28/4/04,
Isen Bjerg,2004,1IB10,Gonia picea,Salix repens female,28/4/04,
Isen Bjerg,2004,1IB10,Gonia picea,Salix repens female,28/4/04,
Isen Bjerg,2004,1IB10,Gonia picea,Salix repens female,28/4/04,
Isen Bjerg,2004,1IB10,Meligethes aeneus,Salix repens female,28/4/04,
Isen Bjerg,2004,1IB100,Hyleaus annularis,Solidago virgaurea,30/6/04,
Isen Bjerg,2004,1IB101,Anarta myrtilli,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Anarta myrtilli,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Bombus pascuorum,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Bombus pascuorum,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Bombus pascuorum,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Bombus terrestris/lucorum type,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Bombus terrestris/lucorum type,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB101,Bombus terrestris/lucorum type,Erica tetralix,30/6/04,
Isen Bjerg,2004,1IB102,Bombus lapidarius type,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB102,Bombus lapidarius type,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB102,Bombus lapidarius type,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB102,Bombus lapidarius type,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB102,Lasioglossum sp.,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB102,Meligethes aeneus,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB103,Anarta myrtilli,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Anarta myrtilli,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Anarta myrtilli,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Anarta myrtilli,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Andrena sp.,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus (Psithyrus) bohemicus,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus (Psithyrus) bohemicus,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus (Psithyrus) bohemicus,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus (Psithyrus) bohemicus,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus (Psithyrus) bohemicus,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus lucorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus lucorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus lucorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus lucorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus lucorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus lucorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB103,Bombus pascuorum,Erica tetralix,1/7/04,
Isen Bjerg,2004,1IB104,Bombus lapidarius type,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB104,Bombus lapidarius type,Solidago virgaurea,1/7/04,
Isen Bjerg,2004,1IB105,Bombus (Psithyrus) bohemicus,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB105,Bombus (Psithyrus) bohemicus,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB105,Bombus (Psithyrus) bohemicus,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB105,Bombus lapidarius type,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB105,Bombus lapidarius type,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB105,Episyrphus balteatus,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB106,0,Trientalis europaea,2/7/04,
Isen Bjerg,2004,1IB106,Ammophila pubescens,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB106,Ammophila pubescens,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB106,Ammophila pubescens,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB106,Coenosia means,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB106,Coenosia means,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB106,Coenosia means,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB107,Bombus lapidarius type,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Episyrphus balteatus,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Episyrphus balteatus,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Episyrphus balteatus,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Episyrphus balteatus,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Episyrphus balteatus,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Episyrphus balteatus,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB107,Volucella bombylans,Solidago virgaurea,2/7/04,
Isen Bjerg,2004,1IB108,0,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB108,Anarta myrtilli,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB108,Bombus pascuorum,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB108,Bombus pascuorum,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB108,Bombus terrestris/lucorum type,Potentilla erecta,2/7/04,
Isen Bjerg,2004,1IB108,Bombus terrestris/lucorum type,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB108,Bombus terrestris/lucorum type,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB108,Coenosia means,Potentilla erecta,2/7/04,
Isen Bjerg,2004,1IB108,Coenosia means,Potentilla erecta,2/7/04,
Isen Bjerg,2004,1IB109,0,Galium saxatile,2/7/04,
Isen Bjerg,2004,1IB109,Bombus lapidarius type,Erica tetralix,2/7/04,
Isen Bjerg,2004,1IB109,Bombus terrestris/lucorum type,Potentilla erecta,2/7/04,
Isen Bjerg,2004,1IB109,Coenosia means,Potentilla erecta,2/7/04,
Isen Bjerg,2004,1IB11,Apis mellifera,Salix repens male,28/4/04,
Isen Bjerg,2004,1IB11,Gonia picea,Salix repens male,28/4/04,
Isen Bjerg,2004,1IB110,Bombus lapidarius type,Potentilla erecta,5/7/04,
Isen Bjerg,2004,1IB110,Bombus lapidarius type,Potentilla erecta,5/7/04,
Isen Bjerg,2004,1IB110,Lasioglossum punctatissimum,Potentilla erecta,5/7/04,
Isen Bjerg,2004,1IB110,Sphaerophoria sp.,Potentilla erecta,5/7/04,
Isen Bjerg,2004,1IB110,Sphaerophoria sp.,Potentilla erecta,5/7/04,
Isen Bjerg,2004,1IB110,Sphaerophoria sp.,Potentilla erecta,5/7/04,
Isen Bjerg,2004,1IB111,0,Solidago virgaurea,5/7/04,
Isen Bjerg,2004,1IB112,Anarta myrtilli,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Anarta myrtilli,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Anarta myrtilli,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Anarta myrtilli,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Anarta myrtilli,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Anarta myrtilli,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Bombus lapidarius type,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Bombus terrestris/lucorum type,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB112,Bombus terrestris/lucorum type,Erica tetralix,5/7/04,
Isen Bjerg,2004,1IB113,Bombus (Psithyrus) bohemicus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus (Psithyrus) bohemicus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus (Psithyrus) bohemicus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus (Psithyrus) bohemicus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus (Psithyrus) bohemicus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus (Psithyrus) bohemicus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus jonellus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus jonellus,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus lapidarius type,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus muscorum,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus pascuorum,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus terrestris/lucorum type,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus terrestris/lucorum type,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB113,Bombus terrestris/lucorum type,Erica tetralix,7/7/04,
Isen Bjerg,2004,1IB114,0,Galium saxatile,7/7/04,
Isen Bjerg,2004,1IB115,0,Galium saxatile,7/7/04,
Isen Bjerg,2004,1IB115,Bombus jonellus,Solidago virgaurea,7/7/04,
Isen Bjerg,2004,1IB116,Bombus terrestris/lucorum type,Potentilla erecta,7/7/04,
