Species,Order,Family
Alliopsis silvestris,Diptera,Anthomyiidae
Botanophila aff. rubrifrons,Diptera,Anthomyiidae
Botanophila aff. varicolor,Diptera,Anthomyiidae
Botanophila brunneilinea,Diptera,Anthomyiidae
Botanophila discreta,Diptera,Anthomyiidae
Botanophila estonica,Diptera,Anthomyiidae
Botanophila fugax,Diptera,Anthomyiidae
Botanophila sericea,Diptera,Anthomyiidae
Botanophila striolata,Diptera,Anthomyiidae
Botanophila trapezina,Diptera,Anthomyiidae
Botanophila tuxeni,Diptera,Anthomyiidae
Botanophila varicolor,Diptera,Anthomyiidae
Chiastocheta rotundiventris,Diptera,Anthomyiidae
Delia aff. angustiventris,Diptera,Anthomyiidae
Delia longicauda,Diptera,Anthomyiidae
Delia lophota (syn. D. nuda),Diptera,Anthomyiidae
Delia platura,Diptera,Anthomyiidae
Delia pseudofugax,Diptera,Anthomyiidae
Heterostylodes obscura,Diptera,Anthomyiidae
Heterostylodes pilifera,Diptera,Anthomyiidae
Heterostylodes pratensis,Diptera,Anthomyiidae
Hydrophoria diabata,Diptera,Anthomyiidae
Hydrophoria lancifer,Diptera,Anthomyiidae
Hydrophoria lancifer ,Diptera,Anthomyiidae
Hylemya nigrimana,Diptera,Anthomyiidae
Hylemya vagans,Diptera,Anthomyiidae
Hylemya variata,Diptera,Anthomyiidae
Paregle atrisquama,Diptera,Anthomyiidae
Pegoplata aestiva,Diptera,Anthomyiidae
Phorbia curvicauda,Diptera,Anthomyiidae
Phorbia fascicularis,Diptera,Anthomyiidae
Phorbia fumigata,Diptera,Anthomyiidae
Bombylius cinerascens,Diptera,Bombyliidae
Bellardia pandia,Diptera,Calliphoridae
Bellardia stricta,Diptera,Calliphoridae
Bellardia viarum,Diptera,Calliphoridae
Bellardia vulgaris,Diptera,Calliphoridae
Calliphora loewi,Diptera,Calliphoridae
Calliphora subalpina,Diptera,Calliphoridae
Calliphora vicina,Diptera,Calliphoridae
Calliphora vomitoria,Diptera,Calliphoridae
Cynomya mortuorum,Diptera,Calliphoridae
Eggisops pecchiolii,Diptera,Calliphoridae
Lucilia caesar,Diptera,Calliphoridae
Lucilia richardsi,Diptera,Calliphoridae
Lucilia richardsih,Diptera,Calliphoridae
