Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Fumaria muralis,Bombus terrestris,10,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO1_PARCEL2_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Fumaria muralis,Bombus terrestris,6,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO1_PARCEL2_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Calendula arvensis,Eucera longicornis,6,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO2_PARCEL1_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Calendula arvensis,Eucera longicornis,1,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO2_PARCEL1_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Vicia faba,Xylocopa violaceae,20,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO3_PARCEL4_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Vicia faba,Xylocopa violaceae,20,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO3_PARCEL4_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Vicia faba,Xylocopa violaceae,4,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO3_PARCEL4_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Fumaria muralis,Bombus terrestris,1,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO4_PARCEL1_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Raphanus raphanistrum,Bombylius sp.,13,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO4_PARCEL1_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Calendula arvensis,Apis mellifera,1,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO4_PARCEL1_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Raphanus raphanistrum,Bombylius sp.,10,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO4_PARCEL1_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Oxalis pes-caprae,Anthophora sp.,10,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO5_PARCEL6_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Oxalis pes-caprae,Anthophora sp.,31,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO5_PARCEL6_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Oxalis pes-caprae,Bombus terrestris,30,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO5_PARCEL6_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Oxalis pes-caprae,Apis mellifera,3,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO5_PARCEL6_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Raphanus raphanistrum,Andrena sp.1,1,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO5_PARCEL6_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Raphanus raphanistrum,Andrena sp.1,13,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO5_PARCEL6_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,15,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,15,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Oxalis pes-caprae,Bombus terrestris,20,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,30,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,50,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,30,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,20,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,8,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Melilotus italicus,Apis mellifera,11,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO6_PARCEL5_DAY10,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,10,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Fumaria muralis,Anthophora sp.,2,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO7_PARCEL1_DAY18,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,18,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Calendula arvensis,Lepidoptera,2,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO7_PARCEL1_DAY18,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,18,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Calendula arvensis,Lepidoptera,1,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO7_PARCEL1_DAY18,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,18,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Calendula arvensis,Lepidoptera,1,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO7_PARCEL1_DAY18,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,18,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
Fumaria muralis,Anthophora sp.,14,Aggregation of focal observations,15,2,Ferrero_2011B_CENSO7_PARCEL1_DAY18,Agricultural area,Portugal,Castelo Viegas,40.165519,-8.407459,100 m,664,18,3,2011,"Ferrero_2011B is site WITHOUT Oxalis (after mowing) and Ferrero_2011A is the same site WITH Oxalis. Climatic conditions from the closest meteorological station, Airport of Coimbra/Cernache, the mean values registered during observations",15.9,60.9
