Category;Kategori;PlatsID;Site_name;Age;AbandonmentTime;area_mark;NEAR_DIST;Area_Buff5;Area_buff1;prop_aker5;prop_lov5;prop_barr5;prop_vatten5;prop_bete5;prop_ang5;prop_ovrigt5;prop_aker1;prop_lov1;prop_barr1;prop_vatten1;prop_bete1;prop_ang1;prop_ovrigt1
Abandoned;Restaurerbar;24;Eke Vidbo;;;27629;774.306989399;82394164;3920863;0.264479144420957;0.0109066826626216;0.564019946849634;0.00484326778289783;0.0153119946699138;0;0.140438963613976;0.212375438774576;0.0582486559719123;0.595082001079864;0;0.00349693422085903;0;0.130796969952788
Abandoned;Restaurerbar;2;Forkarby;;;28124;784.346103678;82186359;3876096;0.680130664992715;0.00183450151380961;0.133183780534675;0.00745721075196919;0.02703724835894;;0.148575580529124;0.896522170761509;0;0.0343544122746186;;0.00326694694868239;0;0.0530260344429033
Abandoned;Restaurerbar;19;Grän rasbo;;;27244;0;84148439;4283439;0.27831994601825;0;0.6001983233462;0.000388967405562924;0.0253638335465736;0;0.0957289296834134;0.627002975879895;0;0.194867721940245;0;0.122440403610277;0;0.055688898569584
Abandoned;Restaurerbar;23;Haknäs vassunda;;;17975;896.036704101;81482916;3732506;0.362540879121214;0.00943616205389606;0.397703562793457;0.074539858146461;0.0161640386065712;0;0.139615499278401;0.344922687331246;0.000314801905207922;0.456086607764328;0;0.00640588387533737;0;0.192270019123881
Abandoned;Restaurerbar;13;Jordmarken Kungsör;;;36140;1.37058609719;82345802;3904510;0.465660204511701;0.0377304844271236;0.211290491772732;0.155255273365362;0.0287855475619753;0;0.101277998361107;0.732534684249752;0.0909310003047758;0.0716507321021076;;0.118029919247229;0;0
Abandoned;Restaurerbar;8;Kungs Husby;;;26620;453.268893784;82310905;3903040;0.432859874399389;0.000733305021977343;0.329923696015735;0.127947967526296;0.0186092110152355;0;0.0899259460213686;0.515710574321554;0;0.365289107977371;0;0.000924920062310404;0;0.118075397638764
Abandoned;Restaurerbar;31;Långalma Öregrund;;;29034;13.851367419;82176002;3874041;0.122808517747067;0;0.531307449101746;0.178647471800831;0.0370524475016441;0;0.130184113848712;0.18272960972793;0;0.643035269890019;0;0.0670134879832196;0;0.107221632398831
Abandoned;Restaurerbar;34;Norräng Ryckelsby Ög;;;24836;0;82939224;4029111;0.225977855785099;0.00918238637004851;0.609089144600629;0.0105031607240502;0.062456371668006;0;0.0827910808521672;0.192420362705321;0;0.53437420810695;;0.169260166820919;0;0.101729140745936
Abandoned;Restaurerbar;38;Opplunda Vikingstad Ög;;;23517;0;81665473;3770847;0.542286224191709;0.00261263410548054;0.268530875955375;0.00350134505435363;0.0361339240636003;0;0.146934996629481;0.600165957409569;0.0293414185194997;0.199458371023804;;0.0834173330288925;0;0.0796608825550334
Abandoned;Restaurerbar;3;Storsätra Vänge;;;18266;281.514606283;81898510;3823863;0.346704463854104;0.00277100279357952;0.514133114265449;0.00539643517324064;0.0117271486379911;0;0.119267835275636;0.350290269290505;0.029433585878992;0.486040948642773;0;0.00342140918751535;0;0.130813787000214
