Site_name,PlatsID,Visit,Transect_Grassland,plantsp_abund,Flw_abund
Laby,1,4,A,Achillea_millefolium,1
Laby,1,5,A,Achillea_millefolium,5
Laby,1,5,A,Achillea_millefolium,2
Laby,1,5,B,Achillea_millefolium,2
Storsatra_Vange,3,5,B,Achillea_millefolium,2
Paris_Vange,4,5,D,Achillea_millefolium,1
Paris_Vange,4,5,D,Achillea_millefolium,1
Tjalinge_Skogstibble,5,4,A,Achillea_millefolium,1
Tjalinge_Skogstibble,5,4,C,Achillea_millefolium,2
Tjalinge_Skogstibble,5,5,C,Achillea_millefolium,33
Tjalinge_Skogstibble,5,5,C,Achillea_millefolium,6
Tjalinge_Skogstibble,5,5,D,Achillea_millefolium,60
Graneberg_Litslena,7,4,A,Achillea_millefolium,10
Tjarns_Hage,9,5,B,Achillea_millefolium,5
Tjarns_Hage,9,4,B,Achillea_millefolium,1
Tjarns_Hage,9,5,B,Achillea_millefolium,5
Tjarns_Hage,9,5,C,Achillea_millefolium,4
Tjarns_Hage,9,5,C,Achillea_millefolium,3
Langholmsbryggan_Engso,11,5,C,Achillea_millefolium,2
Langholmsbryggan_Engso,11,2,D,Achillea_millefolium,8
Langholmsbryggan_Engso,11,2,D,Achillea_millefolium,9
S_Lunger,16,5,A,Achillea_millefolium,1
Gran_rasbo,19,5,A,Achillea_millefolium,1
St_Tadinge,22,5,A,Achillea_millefolium,1
St_Tadinge,22,5,A,Achillea_millefolium,1
Eke_Vidbo,24,4,A,Achillea_millefolium,1
Eke_Vidbo,24,5,A,Achillea_millefolium,2
Eke_Vidbo,24,5,B,Achillea_millefolium,2
Eke_Vidbo,24,4,C,Achillea_millefolium,3
Eke_Vidbo,24,3,D,Achillea_millefolium,2
Eke_Vidbo,24,5,D,Achillea_millefolium,1
Eke_Vidbo,24,4,D,Achillea_millefolium,8
Eke_Vidbo,24,5,D,Achillea_millefolium,11
Norrby_Vidbo,25,5,A,Achillea_millefolium,1
Norrby_Vidbo,25,4,B,Achillea_millefolium,1
Norrby_Vidbo,25,5,B,Achillea_millefolium,1
Norrby_Vidbo,25,5,C,Achillea_millefolium,2
Norrby_Vidbo,25,5,D,Achillea_millefolium,1
Forsbacka_Rimbo,27,5,B,Achillea_millefolium,3
Forsbacka_Rimbo,27,5,C,Achillea_millefolium,2
Forsbacka_Rimbo,27,2,D,Achillea_millefolium,5
Ekeby_Norrtalje,28,5,D,Achillea_millefolium,1
Rocksta_Norrtalje,29,5,A,Achillea_millefolium,1
Norrang_Ryckelsby_Og,34,5,B,Achillea_millefolium,1
Focksta_2,39,5,D,Achillea_millefolium,5
Langholmsbryggan_Engso,11,1,C,Ajuga_pyramidalis,6
Tyringe,15,2,A,Ajuga_pyramidalis,20
Laby,1,4,D,Alchemilla_sp,7
Forkarby,2,1,B,Alchemilla_sp,5
Paris_Vange,4,2,A,Alchemilla_sp,10
Paris_Vange,4,2,A,Alchemilla_sp,3
Graneberg_Litslena,7,1,D,Alchemilla_sp,6
Kungs_Husby,8,5,D,Alchemilla_sp,5
Tjarns_Hage,9,1,A,Alchemilla_sp,4
Sjoangen_Engso,10,2,B,Alchemilla_sp,4
Sjoangen_Engso,10,4,B,Alchemilla_sp,13
Sjoangen_Engso,10,1,C,Alchemilla_sp,7
Langholmsbryggan_Engso,11,1,C,Alchemilla_sp,16
Langholmsbryggan_Engso,11,2,C,Alchemilla_sp,32
Langholmsbryggan_Engso,11,1,C,Alchemilla_sp,20
Langholmsbryggan_Engso,11,3,D,Alchemilla_sp,90
Langholmsbryggan_Engso,11,4,D,Alchemilla_sp,115
Jordmarken_Kungsor,13,5,C,Alchemilla_sp,10
Kramnas,17,2,C,Alchemilla_sp,5
Kramnas,17,2,D,Alchemilla_sp,15
Gran_rasbo,19,5,B,Alchemilla_sp,15
Ahlezons_hage,20,2,D,Alchemilla_sp,39
Ahlezons_hage,20,5,D,Alchemilla_sp,82
St_Tadinge,22,2,A,Alchemilla_sp,20
Eke_Vidbo,24,2,A,Alchemilla_sp,74
Eke_Vidbo,24,3,A,Alchemilla_sp,60
Eke_Vidbo,24,2,A,Alchemilla_sp,29
Eke_Vidbo,24,4,A,Alchemilla_sp,30
Eke_Vidbo,24,2,B,Alchemilla_sp,60
Eke_Vidbo,24,3,B,Alchemilla_sp,3
Eke_Vidbo,24,2,C,Alchemilla_sp,80
Eke_Vidbo,24,3,C,Alchemilla_sp,150
Eke_Vidbo,24,5,D,Alchemilla_sp,10
Eke_Vidbo,24,3,D,Alchemilla_sp,80
Norrby_Vidbo,25,2,B,Alchemilla_sp,2
Norrby_Vidbo,25,2,B,Alchemilla_sp,2
Forsbacka_Rimbo,27,3,A,Alchemilla_sp,2
Forsbacka_Rimbo,27,3,A,Alchemilla_sp,7
