Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,Comment
28,6,2016,Bois de Fontaret_2016,Fumana procumbens,0.1,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Helichrysum stoechas,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Inula montana,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Linum narbonense,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Linum suffruticosum,35,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Lotus delortii,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Medicago lupulina,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Scabiosa triandra,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
28,6,2016,Bois de Fontaret_2016,Thymus dolomiticus,10,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
2,8,2016,Bois de Fontaret_2016,Cirsium acaule,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
2,8,2016,Bois de Fontaret_2016,Daucus carota,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
2,8,2016,Bois de Fontaret_2016,Echinops ritro,35,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
2,8,2016,Bois de Fontaret_2016,Hypericum perforatum,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
2,8,2016,Bois de Fontaret_2016,Minuartia capillacea,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
2,8,2016,Bois de Fontaret_2016,Scabiosa triandra,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
6,9,2016,Bois de Fontaret_2016,Fumana procumbens,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
6,9,2016,Bois de Fontaret_2016,Lavandula angustifolia,65,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
6,9,2016,Bois de Fontaret_2016,Minuartia capillacea,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
6,9,2016,Bois de Fontaret_2016,Scabiosa triandra,25,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
