Plant_accepted_name,Interaction_percent,Cumulative_percentage
Trifolium repens,1.701381846908402,4.521778018382742
Trifolium pratense,1.187362782858828,7.6774428922808955
Centaurea jacea,0.9385896004130574,10.171941015169882
Brassica oleracea,0.839664842566163,12.403525908839486
Cistus crispus,0.7616409288122564,14.42774593684904
Lotus corniculatus,0.7564157177890095,16.438078873968763
Cirsium arvense,0.6543026955889477,18.17702510268209
Melilotus italicus,0.6427895187580648,19.88537265655341
Knautia arvensis,0.6256083164104395,21.548057572583588
Calluna vulgaris,0.5542266200589652,23.02103070459333
Centaurea scabiosa,0.5040114564965757,24.36054653940756
Lavandula stoechas,0.4681434825234404,25.604735733367853
Thymbra capitata,0.4218250865038113,26.725824104694542
Brassica napus,0.39853304414594815,27.785009003071636
Ranunculus acris,0.3911823235539229,28.82465782443422
Achillea millefolium,0.3872855560111625,29.853950171234892
Vicia cracca,0.3742668099023948,30.84864247802191
Echium vulgare,0.34964632406404517,31.777900695531414
Daucus carota,0.34858356927965595,32.70433441997858
Leontodon hispidus,0.3278598509840666,33.57569052971014
Oxalis pes-caprae,0.3257343414152883,34.44139765331701
Tetrapanax papyrifer,0.3145754161792017,35.27744759976933
Potentilla erecta,0.30571912630929177,36.08996010403549
Melilotus albus,0.28694379178508267,36.852573230867
Picris hieracioides,0.2702054039309528,37.57070059196667
Erigeron annuus,0.2683455830582717,38.28388509020725
Origanum vulgare,0.26595438479339606,38.99071447905756
Prunella vulgaris,0.2619690543519365,39.6869520189241
Chamaenerion angustifolium,0.26046348507405187,40.379188193619
Chaerophyllum hirsutum,0.2547954595573095,41.056360405314756
Convolvulus arvensis,0.2514300694067437,41.72458838897977
Plantago lanceolata,0.24779899056008065,42.38316602134846
Leucanthemum vulgare,0.24744473896528424,43.040802156029706
Medicago sativa,0.2458506067887004,43.69420155111744
Scabiosa columbaria,0.23699431691879047,44.324063504019016
Rubus fruticosus,0.22583539168270395,44.92426827976604
Trifolium medium,0.22450694820221745,45.520942439185134
Potentilla reptans,0.22362131921522646,46.11526285438561
Buddleja davidii,0.21423365195312188,46.68463358086876
Ligustrum vulgare,0.2138794003583255,47.25306280966447
Carduus defloratus,0.21166532789084802,47.81560767791364
Hypericum perforatum,0.2091855667272732,48.371562062350684
Crepis capillaris,0.2067058055636984,48.9209259629756
Cistus salviifolius,0.20068352845215967,49.454284402913935
Lavandula pedunculata,0.1969638867067975,49.97775711713408
Centaurea nigrescens,0.19607825771980647,50.498876087135606
Salvia officinalis,0.19474981423931997,51.016464440809216
Cistus ladanifer,0.1902331064056659,51.52204869896788
Rhinanthus glacialis,0.18394514059802983,52.01092137317438
Salvia rosmarinus,0.17686010870210186,52.48096409363194
Taraxacum officinale,0.17641729420860638,52.949829941980205
Echium candicans,0.1721662750710496,53.407397818079104
Glebionis coronaria,0.1666753753517054,53.85037248002259
Jurinea humilis,0.16242435621414864,54.28204916971673
Bellis perennis,0.16029884664537022,54.70807687328618
Betonica alopecuros,0.15613639040651256,55.12304197902814
Anagyris foetida,0.15578213881171618,55.53706558708265
Solidago virgaurea,0.1503798019910711,55.93673135540361
Impatiens glandulifera,0.1474572263340008,56.32862976780313
Arctium tomentosum,0.14728010053660262,56.72005743135893
Lythrum salicaria,0.1464830344483107,57.10936672511798
Albuca bracteata,0.14037219443807283,57.48243518376858
Jasione crispa,0.13904375095758634,57.85197302609125
Hypericum maculatum,0.13355285123824218,58.20691765425851
Thymus praecox,0.13328716254214487,58.561156159160184
Jacobaea vulgaris,0.13249009645385298,58.9132762942651
Satureja thymbra,0.13098452717596826,59.26139506419837
Thymus pulegioides,0.12664494513971242,59.597980487460426
Lathyrus pratensis,0.1262021306462169,59.93338903861317
Cirsium palustre,0.1247851242670313,60.26503159901613
Hypochaeris radicata,0.12283674049565112,60.59149592213814
Hippocrepis comosa,0.12265961469825291,60.91748949641642
Salvia pratensis,0.12044554223077542,61.23759871014816
Helminthotheca echioides,0.11867428425679344,61.55300043544268
Anthyllis vulneraria,0.11832003266199703,61.86746066304974
Betonica officinalis,0.11787721816850154,62.1807440185475
Heracleum sphondylium,0.11575170859972315,62.488378387920584
Mentha longifolia,0.11415757642313935,62.79177601770015
Cirsium vulgare,0.11389188772704206,63.09446752421414
Torilis arvensis,0.11318338453744926,63.395276035353234
Medicago lupulina,0.11282913294265286,63.69514304880489
Salix repens,0.11096931206997177,63.99006719939744
Wisteria floribunda,0.10760392191940599,64.27604712195925
Cistus monspeliensis,0.1072496703246096,64.56108554683362
Lamium album,0.10707254452721139,64.84565322286427
Melampyrum nemorosum,0.1052127236545303,65.12527803603582
Pseudodictamnus acetabulosus,0.1045927833636366,65.40325522825434
Centaurea nigra,0.10450422046493751,65.680997046051
Pimpinella major,0.10441565756623841,65.9585034894258
Mahonia japonica,0.10344146568054831,66.23342081416013
Rorippa sylvestris,0.10344146568054831,66.50833813889444
Cichorium intybus,0.10237871089615912,66.78043097056643
Matricaria chamomilla,0.10220158509876091,67.05205305339469
Pimpinella saxifraga,0.10069601582087621,67.3196737710513
Vaccinium vitis-idaea,0.09972182393518612,67.58470537006743
Euphrasia officinalis,0.09954469813778792,67.84926622023984
Helianthemum nummularium,0.09733062567031044,68.10794270986571
Vicia faba,0.09644499668331945,68.36426545527297
Camellia japonica,0.09431948711454105,68.61493921455555
Cirsium monspessulanum,0.09369954682364737,68.8639653528851
Geranium phaeum,0.09263679203925816,69.11016699815231
Centaurea phrygia,0.09157403725486897,69.35354415035718
Lavandula angustifolia,0.09104265986267436,69.59550905603088
Heracleum austriacum,0.09068840826787797,69.83653246401713
Phyteuma orbiculare,0.08997990507828517,70.07567287662849
Melilotus officinalis,0.08812008420560409,70.30987042638077
Galactites tomentosus,0.08723445521861309,70.54171423191441
Scabiosa lucida,0.0849318198524365,70.76743830247966
Helichrysum stoechas,0.0848432569537374,70.99292699862306
Ranunculus repens,0.08386906506804731,71.21582657612596
Euphorbia characias,0.08183211839796802,71.43331254192607
Sonchus oleraceus,0.08156642970187072,71.65009238446058
Erica tetralix,0.08138930390447251,71.86640147815136
Rhododendron hirsutum,0.08112361520837522,72.08200444857657
Vicia sepium,0.08103505230967611,72.29737204457992
Geum rivale,0.08023798622138421,72.5106212707865
Rubus idaeus,0.07917523143699502,72.72104600393075
Campanula scheuchzeri,0.07793535085520763,72.92817549516894
Taraxacum campylodes,0.07758109926041123,73.13436348871967
