Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment (FloralArea = count * size in mm2)
197,7,2009,DaraStanley_CG42_9,Vicia_sepium,1,total abundance per plant species,15
204,7,2009,DaraStanley_CG42_9,Cirsium_arvense,1,total abundance per plant species,25
204,7,2009,DaraStanley_CG42_9,Senecio_jacobaea,2,total abundance per plant species,50
145,5,2009,DaraStanley_CG42_9,Stachys_sylvatica,3,total abundance per plant species,54
216,8,2009,DaraStanley_CG42_9,Vicia_sepium,9,total abundance per plant species,135
216,8,2009,DaraStanley_CG42_9,Glechoma_hederacea,15,total abundance per plant species,375
145,5,2009,DaraStanley_CG42_9,Ranunculus_repens,16,total abundance per plant species,480
217,8,2009,DaraStanley_CG42_9,Ranunculus_repens,35,total abundance per plant species,1050
140,5,2009,DaraStanley_CG42_9,Stachys_palustris,48,total abundance per plant species,720
167,6,2009,DaraStanley_CG42_9,Trifolium_repens,255,total abundance per plant species,3315
215,8,2009,DaraStanley_CG42_9,Trifolium_repens,1340,total abundance per plant species,17420
215,8,2009,DaraStanley_CG42_9,Ranunculus_repens,4281,total abundance per plant species,128430
215,8,2009,DaraStanley_CG43_9,Vicia_sepium,3,total abundance per plant species,45
134,5,2009,DaraStanley_CG43_9,Vicia_cracca,5,total abundance per plant species,60
134,5,2009,DaraStanley_CG43_9,Lotus_corniculatus,8,total abundance per plant species,128
134,5,2009,DaraStanley_CG43_9,Senecio_jacobaea,9,total abundance per plant species,225
208,7,2009,DaraStanley_CG43_9,Ranunculus_repens,13,total abundance per plant species,390
135,5,2009,DaraStanley_CG43_9,Rubus_fruticosus,22,total abundance per plant species,660
135,5,2009,DaraStanley_CG43_9,Cirsium_vulgare,54,total abundance per plant species,1620
135,5,2009,DaraStanley_CG43_9,Cirsium_arvense,88,total abundance per plant species,2200
203,7,2009,DaraStanley_CG43_9,Centaurea_nigra,132,total abundance per plant species,5280
203,7,2009,DaraStanley_CG43_9,Ranunculus_repens,546,total abundance per plant species,16380
223,8,2009,DaraStanley_CG43_9,Trifolium_repens,617,total abundance per plant species,8021
215,8,2009,DaraStanley_CG45_9,Taraxacum_agg,1,total abundance per plant species,50
215,8,2009,DaraStanley_CG45_9,Cirsium_arvense,4,total abundance per plant species,100
221,8,2009,DaraStanley_CG45_9,Cirsium_vulgare,10,total abundance per plant species,300
221,8,2009,DaraStanley_CG45_9,Ranunculus_repens,38,total abundance per plant species,1140
200,7,2009,DaraStanley_CG45_9,Rubus_fruticosus,404,total abundance per plant species,12120
138,5,2009,DaraStanley_CG49_9,Vicia_sepium,5,total abundance per plant species,75
138,5,2009,DaraStanley_CG49_9,Ranunculus_repens,18,total abundance per plant species,540
165,6,2009,DaraStanley_CG49_9,Heracleum_sphondylium,48,total abundance per plant species,9600
165,6,2009,DaraStanley_CG49_9,Rubus_fruticosus,200,total abundance per plant species,6000
165,6,2009,DaraStanley_CG49_9,Crataegus_monogyna,384,total abundance per plant species,4608
200,7,2009,DaraStanley_CG49_9,Anthriscus_sylvestris,1557,total abundance per plant species,93420
165,6,2009,DaraStanley_CG50_9,Bellis_perennis,1,total abundance per plant species,25
200,7,2009,DaraStanley_CG50_9,Ranunculus_repens,4,total abundance per plant species,120
152,6,2009,DaraStanley_CG50_9,Cirsium_vulgare,4,total abundance per plant species,120
202,7,2009,DaraStanley_CG50_9,Heracleum_sphondylium,4,total abundance per plant species,800
152,6,2009,DaraStanley_CG50_9,Vicia_sativa,16,total abundance per plant species,192
152,6,2009,DaraStanley_CG50_9,Ranunculus_repens,19,total abundance per plant species,570
178,6,2009,DaraStanley_CG50_9,Vicia_cracca,20,total abundance per plant species,240
178,6,2009,DaraStanley_CG50_9,Vicia_sepium,30,total abundance per plant species,450
178,6,2009,DaraStanley_CG50_9,Cardamine_pratensis,32,total abundance per plant species,640
178,6,2009,DaraStanley_CG50_9,Rubus_fruticosus,503,total abundance per plant species,15090
178,6,2009,DaraStanley_CG50_9,Ranunculus_repens,919,total abundance per plant species,27570
178,6,2009,DaraStanley_CT32_9,Rubus_fruticosus,1,total abundance per plant species,30
178,6,2009,DaraStanley_CT32_9,Heracleum_sphondylium,1,total abundance per plant species,200
202,7,2009,DaraStanley_CT32_9,Lonicera_periclymenum,2,total abundance per plant species,100
152,6,2009,DaraStanley_CT32_9,Heracleum_sphondylium,2,total abundance per plant species,400
152,6,2009,DaraStanley_CT32_9,Cirsium_arvense,3,total abundance per plant species,75
202,7,2009,DaraStanley_CT32_9,Cirsium_vulgare,7,total abundance per plant species,210
202,7,2009,DaraStanley_CT32_9,Geranium_robertianum,24,total abundance per plant species,360
202,7,2009,DaraStanley_CT32_9,Vicia_sepium,34,total abundance per plant species,510
202,7,2009,DaraStanley_CT32_9,Geranium_robertianum,43,total abundance per plant species,645
209,7,2009,DaraStanley_CT32_9,Rubus_fruticosus,82,total abundance per plant species,2460
209,7,2009,DaraStanley_CT32_9,Galium_aparine,2526,total abundance per plant species,5052
209,7,2009,DaraStanley_CT33_9,Heracleum_sphondylium,1,total abundance per plant species,200
209,7,2009,DaraStanley_CT33_9,Ranunculus_repens,4,total abundance per plant species,120
209,7,2009,DaraStanley_CT33_9,Geranium_robertianum,36,total abundance per plant species,540
209,7,2009,DaraStanley_CT33_9,Rubus_fruticosus,274,total abundance per plant species,8220
209,7,2009,DaraStanley_CT33_9,Rubus_fruticosus,1395,total abundance per plant species,41850
209,7,2009,DaraStanley_CT35_9,Calystegia_sepium,5,total abundance per plant species,250
209,7,2009,DaraStanley_CT35_9,Rubus_fruticosus,13,total abundance per plant species,390
128,5,2009,DaraStanley_CT35_9,Cirsium_arvense,14,total abundance per plant species,350
128,5,2009,DaraStanley_CT35_9,Crataegus_monogyna,47,total abundance per plant species,564
128,5,2009,DaraStanley_CT35_9,Rubus_fruticosus,140,total abundance per plant species,4200
174,6,2009,DaraStanley_CT35_9,Galium_aparine,720,total abundance per plant species,1440
174,6,2009,DaraStanley_CT36_9,Rubus_fruticosus,4,total abundance per plant species,120
174,6,2009,DaraStanley_CT36_9,Stachys_palustris,20,total abundance per plant species,300
174,6,2009,DaraStanley_CT36_9,Lamium_purpureum,101,total abundance per plant species,1818
209,7,2009,DaraStanley_CT36_9,Rubus_fruticosus,105,total abundance per plant species,3150
174,6,2009,DaraStanley_CT36_9,Galium_aparine,200,total abundance per plant species,400
174,6,2009,DaraStanley_CT37_9,Brassica_napus,1,total abundance per plant species,25
209,7,2009,DaraStanley_CT37_9,Sonchus_asper,2,total abundance per plant species,50
209,7,2009,DaraStanley_CT37_9,Aethusa_cynapium,2,total abundance per plant species,60
209,7,2009,DaraStanley_CT37_9,Heracleum_sphondylium,4,total abundance per plant species,800
179,6,2009,DaraStanley_CT37_9,Rubus_fruticosus,6,total abundance per plant species,180
208,7,2009,DaraStanley_CT37_9,Heracleum_sphondylium,18,total abundance per plant species,3600
208,7,2009,DaraStanley_CT37_9,Sinapsis_arvensis,112,total abundance per plant species,16800
208,7,2009,DaraStanley_CT37_9,Anthriscus_sylvestris,254,total abundance per plant species,15240
208,7,2009,DaraStanley_MG11_9,Rubus_fruticosus,1,total abundance per plant species,30
153,6,2009,DaraStanley_MG11_9,Epilobium_hirsutum,4,total abundance per plant species,100
179,6,2009,DaraStanley_MG11_9,Vicia_cracca,5,total abundance per plant species,60
179,6,2009,DaraStanley_MG11_9,Trifolium_repens,10,total abundance per plant species,130
179,6,2009,DaraStanley_MG11_9,Cirsium_arvense,10,total abundance per plant species,250
208,7,2009,DaraStanley_MG11_9,Filipendula_ulmaria,17,total abundance per plant species,306
208,7,2009,DaraStanley_MG11_9,Cirsium_vulgare,18,total abundance per plant species,540
153,6,2009,DaraStanley_MG11_9,Achillea_ptarmica,26,total abundance per plant species,520
179,6,2009,DaraStanley_MG11_9,Cirsium_arvense,39,total abundance per plant species,975
179,6,2009,DaraStanley_MG11_9,Ranunculus_repens,46,total abundance per plant species,1380
208,7,2009,DaraStanley_MG11_9,Angelica_sylvestris,108,total abundance per plant species,16200
208,7,2009,DaraStanley_MG11_9,Epilobium_hirsutum,124,total abundance per plant species,3100
208,7,2009,DaraStanley_MG11_9,Hyacinthoides_non-scripta,219,total abundance per plant species,4380
208,7,2009,DaraStanley_MG11_9,Senecio_jacobaea,2350,total abundance per plant species,58750
153,6,2009,DaraStanley_MG11_9,Stachys_palustris,3384,total abundance per plant species,50760
166,6,2009,DaraStanley_MG11_9,Epilobium_montanum,4718,total abundance per plant species,56616
131,5,2009,DaraStanley_MG11_9,Lythrum_salicaria,5235,total abundance per plant species,78525
166,6,2009,DaraStanley_MG11_9,Lotus_corniculatus,6600,total abundance per plant species,105600
194,7,2009,DaraStanley_MG11_9,Lotus_corniculatus,11748.2,total abundance per plant species,187971.2
166,6,2009,DaraStanley_MG12_9,Rubus_fruticosus,1,total abundance per plant species,30
166,6,2009,DaraStanley_MG12_9,Epilobium_hirsutum,16,total abundance per plant species,400
166,6,2009,DaraStanley_MG12_9,Rubus_fruticosus,60,total abundance per plant species,1800
194,7,2009,DaraStanley_MG13_9,Hypochaeris_radicata,1,total abundance per plant species,40
194,7,2009,DaraStanley_MG13_9,Heracleum_sphondylium,8,total abundance per plant species,1600
194,7,2009,DaraStanley_MG13_9,Senecio_jacobaea,9,total abundance per plant species,225
194,7,2009,DaraStanley_MG13_9,Epilobium_hirsutum,43,total abundance per plant species,1075
194,7,2009,DaraStanley_MG13_9,Sonchus_arvensis,88,total abundance per plant species,4400
194,7,2009,DaraStanley_MG13_9,Persicaria_maculosa,88,total abundance per plant species,308
194,7,2009,DaraStanley_MG13_9,Sonchus_asper,90,total abundance per plant species,2250
133,5,2009,DaraStanley_MG13_9,Cirsium_vulgare,95,total abundance per plant species,2850
171,6,2009,DaraStanley_MG13_9,Lathyrus_pratensis,132.2,total abundance per plant species,2115.2
192,7,2009,DaraStanley_MG13_9,Epilobium_montanum,1077,total abundance per plant species,12924
192,7,2009,DaraStanley_MG13_9,Cirsium_arvense,2309,total abundance per plant species,57725
133,5,2009,DaraStanley_MG14_9,Lythrum_salicaria,1,total abundance per plant species,15
133,5,2009,DaraStanley_MG14_9,Ulex_europaeus,1,total abundance per plant species,20
133,5,2009,DaraStanley_MG14_9,Senecio_jacobaea,1,total abundance per plant species,25
167,6,2009,DaraStanley_MG14_9,Rubus_fruticosus,1,total abundance per plant species,30
171,6,2009,DaraStanley_MG14_9,Calystegia_sepium,2,total abundance per plant species,100
171,6,2009,DaraStanley_MG14_9,Heracleum_sphondylium,6,total abundance per plant species,1200
171,6,2009,DaraStanley_MG14_9,Cirsium_vulgare,12,total abundance per plant species,360
192,7,2009,DaraStanley_MG14_9,Ranunculus_repens,28,total abundance per plant species,840
133,5,2009,DaraStanley_MG14_9,Cirsium_arvense,453,total abundance per plant species,11325
171,6,2009,DaraStanley_MG18_9,Sambucus_nigra,1,total abundance per plant species,6
192,7,2009,DaraStanley_MG18_9,Cardamine_pratensis,1,total abundance per plant species,20
192,7,2009,DaraStanley_MG18_9,Geum_urbanum,1,total abundance per plant species,20
192,7,2009,DaraStanley_MG18_9,Ranunculus_repens,1,total abundance per plant species,30
173,6,2009,DaraStanley_MG18_9,Ranunculus_repens,1,total abundance per plant species,30
193,7,2009,DaraStanley_MG18_9,Calystegia_sepium,1,total abundance per plant species,50
151,5,2009,DaraStanley_MG18_9,Cirsium_vulgare,2,total abundance per plant species,60
151,5,2009,DaraStanley_MG18_9,Sonchus_asper,3,total abundance per plant species,75
173,6,2009,DaraStanley_MG18_9,Leucanthemum_vulgare,3,total abundance per plant species,150
173,6,2009,DaraStanley_MG18_9,Heracleum_sphondylium,3,total abundance per plant species,600
173,6,2009,DaraStanley_MG18_9,Knautia_arvensis,4,total abundance per plant species,160
173,6,2009,DaraStanley_MG18_9,Geranium_robertianum,8,total abundance per plant species,120
173,6,2009,DaraStanley_MG18_9,Ranunculus_repens,8,total abundance per plant species,240
193,7,2009,DaraStanley_MG18_9,Centaurea_nigra,15,total abundance per plant species,600
151,5,2009,DaraStanley_MG18_9,Epilobium_hirsutum,18,total abundance per plant species,450
173,6,2009,DaraStanley_MG18_9,Cirsium_vulgare,20,total abundance per plant species,600
193,7,2009,DaraStanley_MG18_9,Crataegus_monogyna,23,total abundance per plant species,276
193,7,2009,DaraStanley_MG18_9,Rubus_fruticosus,25,total abundance per plant species,750
193,7,2009,DaraStanley_MG18_9,Stachys_sylvatica,34,total abundance per plant species,612
193,7,2009,DaraStanley_MG18_9,Geranium_robertianum,40,total abundance per plant species,600
172,6,2009,DaraStanley_MG18_9,Cirsium_arvense,94,total abundance per plant species,2350
206,7,2009,DaraStanley_MG18_9,Rubus_fruticosus,134,total abundance per plant species,4020
206,7,2009,DaraStanley_MG18_9,Epilobium_montanum,138,total abundance per plant species,1656
206,7,2009,DaraStanley_MT1_9,Ranunculus_repens,1,total abundance per plant species,30
206,7,2009,DaraStanley_MT1_9,Aethusa_cynapium,1,total abundance per plant species,30
206,7,2009,DaraStanley_MT1_9,Rubus_fruticosus,9,total abundance per plant species,270
206,7,2009,DaraStanley_MT1_9,Cirsium_vulgare,9,total abundance per plant species,270
130,5,2009,DaraStanley_MT1_9,Anthriscus_sylvestris,10,total abundance per plant species,600
130,5,2009,DaraStanley_MT1_9,Epilobium_angustifolium,13,total abundance per plant species,325
130,5,2009,DaraStanley_MT1_9,Stachys_palustris,20,total abundance per plant species,300
172,6,2009,DaraStanley_MT1_9,Lathyrus_pratensis,26,total abundance per plant species,390
172,6,2009,DaraStanley_MT1_9,Rubus_fruticosus,55,total abundance per plant species,1650
172,6,2009,DaraStanley_MT1_9,Vicia_sepium,61,total abundance per plant species,915
206,7,2009,DaraStanley_MT1_9,Calystegia_sepium,80,total abundance per plant species,4000
206,7,2009,DaraStanley_MT1_9,Heracleum_sphondylium,90,total abundance per plant species,18000
162,6,2009,DaraStanley_MT1_9,Heracleum_sphondylium,110,total abundance per plant species,22000
195,7,2009,DaraStanley_MT1_9,Lotus_corniculatus,111,total abundance per plant species,1776
221,8,2009,DaraStanley_MT1_9,Cirsium_arvense,117,total abundance per plant species,2925
228,8,2009,DaraStanley_MT1_9,Stellaria_graminea,141,total abundance per plant species,2115
227,8,2009,DaraStanley_MT1_9,Epilobium_montanum,179,total abundance per plant species,2148
225,8,2009,DaraStanley_MT1_9,Lotus_corniculatus,268.6,total abundance per plant species,4297.6
236,8,2009,DaraStanley_MT10_9,Taraxacum_agg,1,total abundance per plant species,50
218,8,2009,DaraStanley_MT10_9,Geranium_robertianum,2,total abundance per plant species,30
238,8,2009,DaraStanley_MT10_9,Sonchus_asper,2,total abundance per plant species,50
209,7,2009,DaraStanley_MT10_9,Cirsium_arvense,3,total abundance per plant species,75
173,6,2009,DaraStanley_MT10_9,Rubus_fruticosus,4,total abundance per plant species,120
217,8,2009,DaraStanley_MT10_9,Cirsium_vulgare,11,total abundance per plant species,330
223,8,2009,DaraStanley_MT10_9,Heracleum_sphondylium,40,total abundance per plant species,8000
153,6,2009,DaraStanley_MT10_9,Epilobium_hirsutum,41,total abundance per plant species,1025
223,8,2009,DaraStanley_MT10_9,Epilobium_montanum,193,total abundance per plant species,2316
181,6,2009,DaraStanley_MT10_9,Epilobium_angustifolium,268,total abundance per plant species,6700
260,9,2009,DaraStanley_MT10_9,Senecio_jacobaea,2226,total abundance per plant species,55650
168,6,2009,DaraStanley_MT2_9,Senecio_jacobaea,3,total abundance per plant species,75
191,7,2009,DaraStanley_MT2_9,Rubus_fruticosus,4,total abundance per plant species,120
176,6,2009,DaraStanley_MT2_9,Cirsium_vulgare,6,total abundance per plant species,180
243,8,2009,DaraStanley_MT2_9,Ranunculus_repens,8,total abundance per plant species,240
243,8,2009,DaraStanley_MT2_9,Epilobium_montanum,15,total abundance per plant species,180
193,7,2009,DaraStanley_MT2_9,Stachys_sylvatica,20,total abundance per plant species,360
249,9,2009,DaraStanley_MT2_9,Hypericum_perforatum,21,total abundance per plant species,525
169,6,2009,DaraStanley_MT2_9,Galium_aparine,30,total abundance per plant species,60
213,8,2009,DaraStanley_MT2_9,Heracleum_sphondylium,74,total abundance per plant species,14800
191,7,2009,DaraStanley_MT2_9,Ranunculus_repens,176,total abundance per plant species,5280
149,5,2009,DaraStanley_MT2_9,Rubus_fruticosus,189,total abundance per plant species,5670
243,8,2009,DaraStanley_MT2_9,Ranunculus_repens,678,total abundance per plant species,20340
149,5,2009,DaraStanley_MT3_9,Cirsium_vulgare,2,total abundance per plant species,60
149,5,2009,DaraStanley_MT3_9,Lamium_purpureum,5,total abundance per plant species,90
244,9,2009,DaraStanley_MT3_9,Cirsium_arvense,5,total abundance per plant species,125
151,5,2009,DaraStanley_MT3_9,Epilobium_montanum,15,total abundance per plant species,180
213,8,2009,DaraStanley_MT3_9,Heracleum_sphondylium,16,total abundance per plant species,3200
246,9,2009,DaraStanley_MT3_9,Ulex_europaeus,46,total abundance per plant species,920
189,7,2009,DaraStanley_MT4_9,Sambucus_nigra,1,total abundance per plant species,6
238,8,2009,DaraStanley_MT4_9,Primula_vulgaris,1,total abundance per plant species,30
245,9,2009,DaraStanley_MT4_9,Ranunculus_repens,1,total abundance per plant species,30
238,8,2009,DaraStanley_MT4_9,Trifolium_repens,3,total abundance per plant species,39
209,7,2009,DaraStanley_MT4_9,Cirsium_arvense,9,total abundance per plant species,225
239,8,2009,DaraStanley_MT4_9,Vicia_cracca,13,total abundance per plant species,156
127,5,2009,DaraStanley_MT4_9,Ranunculus_repens,45,total abundance per plant species,1350
