Site,Area,Area_2018,Connectivity_Index,Connectivity_Index_2018,Year,Round,Date,Plot,Included,ID,Family,Genus,Gender,Visitor,Plant
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",1,SI,Butterfly,Pieridae,Pieris,,Pieris sp,Orchis purpurea
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",2,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",2,SI,Butterfly,Pieridae,Gonepteryx,,Gonepteryx rhamni,Orchis purpurea
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",2,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",3,SI,Butterfly,Nymphalidae,Coenonympha,,Coenonympha pamphilus,Fragaria vesca
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",4,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",5,SI,Butterfly,Hesperiidae,Erynnis,,Erynnis tages,Hippocrepis comosa
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Weinberg,5914,6641,18383,25942,2017,1,"Wednesday, 17 May 2017",7,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",1,SI,#N/A,NA,NA,,NA,NA
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",2,SI,#N/A,NA,NA,,NA,NA
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",3,SI,Solitary bee,Apidae,Nomada,,Nomada sp,Fragaria vesca
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",3,SI,Solitary bee,Apidae,Nomada,,Nomada sp,Fragaria vesca
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",3,SI,Solitary bee,Halictidae,Lasioglossum,,Lasioglossum sp,Euphorbia cyparissias
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",4,SI,#N/A,NA,NA,,NA,NA
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",5,SI,#N/A,NA,NA,,NA,NA
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Vor dem roten Berge,1010,1462,24642,17619,2017,1,"Wednesday, 17 May 2017",7,SI,#N/A,NA,NA,,NA,NA
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",1,SI,Solitary bee,Megachilidae,Osmia,,Osmia bicolor,Ranunculus bulbosus
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",2,SI,Butterfly,Nymphalidae,Coenonympha,,Coenonympha pamphilus,Bellis perennis
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",2,SI,Butterfly,Nymphalidae,Coenonympha,,Coenonympha pamphilus,Bellis perennis
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",2,SI,Honey bee,Apidae,Apis,,Apis mellifera,Bellis perennis
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",2,SI,Butterfly,Nymphalidae,Coenonympha,,Coenonympha pamphilus,Bellis perennis
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",3,SI,#N/A,NA,NA,,NA,NA
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",5,SI,#N/A,NA,NA,,NA,NA
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",6,SI,Butterfly,Nymphalidae,Coenonympha,,Coenonympha pamphilus,Stellaria holostea
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",7,SI,Butterfly,Lycaenidae,Callophrys,,Callophrys rubi,Euphorbia cyparissias
Mackenrodt,18974,11612,18430,637,2017,1,"Wednesday, 17 May 2017",7,SI,Butterfly,Hesperiidae,Pyrgus,,Pyrgus malvae,Fragaria vesca
Heikenrott,82,82,17704,6153,2017,1,"Monday, 22 May 2017",1,SI,#N/A,NA,NA,,NA,NA
Heikenrott,82,82,17704,6153,2017,1,"Monday, 22 May 2017",4,SI,#N/A,NA,NA,,NA,NA
Heikenrott,82,82,17704,6153,2017,1,"Monday, 22 May 2017",5,SI,#N/A,NA,NA,,NA,NA
Heikenrott,82,82,17704,6153,2017,1,"Monday, 22 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Heikenrott,82,82,17704,6153,2017,1,"Monday, 22 May 2017",7,SI,#N/A,NA,NA,,NA,NA
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",1,SI,Butterfly,Nymphalidae,Coenonympha,,Coenonympha pamphilus,Ranunculus acris
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",2,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Ranunculus bulbosus
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",7,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Ellershagen,30083,33186,13505,7146,2017,1,"Monday, 22 May 2017",7,SI,Butterfly,Hesperiidae,Carterocephalus,,Carterocephalus palaemon,Vicia sepium
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",1,SI,Solitary bee,Megachilidae,Osmia,,Osmia bicolor,Fragaria vesca
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",2,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Crataegus laevigata
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",3,SI,#N/A,NA,NA,,NA,NA
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",4,SI,#N/A,NA,NA,,NA,NA
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",5,SI,#N/A,NA,NA,,NA,NA
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Am Hopfenberge,585,693,40713,22360,2017,1,"Monday, 22 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia sepium
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",2,SI,#N/A,NA,NA,,NA,NA
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",3,SI,Butterfly,Hesperiidae,Pyrgus,,Pyrgus malvae,Primula veris
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",3,SI,Butterfly,Lycaenidae,Polyommatus,,Polyommatus icarus,Trifolium pratense
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Rubus caesius
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Burgbreite,8311,7641,4973,7335,2017,1,"Tuesday, 23 May 2017",7,SI,#N/A,NA,NA,,NA,NA
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",1,SI,Solitary bee,Megachilidae,Osmia,,Osmia bicolor,Fragaria vesca
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",2,SI,Butterfly,Hesperiidae,Erynnis,,Erynnis tages,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",2,SI,Butterfly,Lycaenidae,Cupido,Male,Cupido minimus,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",3,SI,Butterfly,Lycaenidae,Cupido,Male,Cupido minimus,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",3,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",3,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",3,SI,Butterfly,Hesperiidae,Erynnis,,Erynnis tages,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Butterfly,Hesperiidae,Erynnis,,Erynnis tages,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Honey bee,Apidae,Apis,,Apis mellifera,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Salvia pratensis
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Salvia pratensis
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Butterfly,Lycaenidae,Polyommatus,Male,Polyommatus icarus,Primula veris
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus sp,Salvia pratensis
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Polygala comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Polygala comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus sp,Salvia pratensis
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Butterfly,Pieridae,Anthocharis,,Anthocharis cardamines,Polygala comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rhinanthus minor
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",5,SI,Butterfly,Lycaenidae,Polyommatus,,Polyommatus icarus,Hippocrepis comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",6,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Polygala comosa
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,NA
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",6,SI,Butterfly,Lycaenidae,Callophrys,,Callophrys rubi,Polygonum aviculare
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",6,SI,Butterfly,Lycaenidae,Callophrys,,Callophrys rubi,Polygonum aviculare
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rhinanthus minor
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rhinanthus minor
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus hortorum,Rhinanthus minor
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rhinanthus minor
Lengder Burg,13616,16804,5017,4915,2017,1,"Tuesday, 23 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Rhinanthus minor
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",1,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Euphorbia cyparissias
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",1,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Anemone sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",1,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Anemone sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",1,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anemone sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",2,SI,#N/A,NA,NA,,NA,NA
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",3,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Euphorbia cyparissias
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",4,SI,#N/A,NA,NA,,NA,NA
